"","top","model_type","test","gene","stat","pval","fdr","gene_index","logFC","ensembl","results"
"1",9978,"enrichment","Ab_env","TMEM163",-6.50363786088908,8.03835057469922e-07,0.00802066620343489,1360,-2.86918210218818,"ENSG00000152128","c(""none-Ab_env_top2""; ""pTau_env-Ab_env_top1""; ""both_env-Ab_env_top1""; ""noWM_top1"")"
"2",1,"pairwise","none-Ab_env","ISLR",5.34103878846968,1.98001470523623e-05,0.197565867288471,7045,1.17302951822066,"ENSG00000129009","c(""none_top1""; ""none-Ab_env_top1""; ""noWM_top3"")"
"3",9978,"pairwise","Ab_env-pTau_env","TMEM163",-5.39594755765281,1.72970582576602e-05,0.172590047294933,1360,-2.99515985281955,"ENSG00000152128","c(""none-Ab_env_top2""; ""pTau_env-Ab_env_top1""; ""both_env-Ab_env_top1""; ""noWM_top1"")"
"4",9978,"pairwise","Ab_env-both_env","TMEM163",-5.5264840400599,1.25559067423293e-05,0.125282837474962,1360,-3.23737166592545,"ENSG00000152128","c(""none-Ab_env_top2""; ""pTau_env-Ab_env_top1""; ""both_env-Ab_env_top1""; ""noWM_top1"")"
"5",9978,"pairwise","Ab_env-none","ISLR",-5.34103878846968,1.98001470523623e-05,0.197565867288471,7045,1.17302951822066,"ENSG00000129009","c(""none_top1""; ""none-Ab_env_top1""; ""noWM_top3"")"
"6",1,"pairwise","pTau_env-Ab_env","TMEM163",5.39594755765281,1.72970582576602e-05,0.172590047294933,1360,-2.99515985281955,"ENSG00000152128","c(""none-Ab_env_top2""; ""pTau_env-Ab_env_top1""; ""both_env-Ab_env_top1""; ""noWM_top1"")"
"7",1,"pairwise","both_env-Ab_env","TMEM163",5.5264840400599,1.25559067423293e-05,0.125282837474962,1360,-3.23737166592545,"ENSG00000152128","c(""none-Ab_env_top2""; ""pTau_env-Ab_env_top1""; ""both_env-Ab_env_top1""; ""noWM_top1"")"
"8",1,"anova","noWM","TMEM163",14.4755358674344,1.61140699575778e-05,0.160786190036711,1360,NA,"ENSG00000152128","c(""none-Ab_env_top2""; ""pTau_env-Ab_env_top1""; ""both_env-Ab_env_top1""; ""noWM_top1"")"
