source_ensembl	source	target_ensembl	target	ratio
ENSG00000102003	SYP	ENSG00000140988	RPS2	1.24372288802294
ENSG00000132475	H3F3B	ENSG00000140988	RPS2	1.23987000481464
ENSG00000189403	HMGB1	ENSG00000115306	SPTBN1	1.23142178956702
ENSG00000189403	HMGB1	ENSG00000137409	MTCH1	1.22870339148491
ENSG00000132475	H3F3B	ENSG00000112695	COX7A2	1.22863464225683
ENSG00000102003	SYP	ENSG00000180354	MTURN	1.22502001683467
ENSG00000132475	H3F3B	ENSG00000149273	RPS3	1.22191444524104
ENSG00000127585	FBXL16	ENSG00000074800	ENO1	1.21710684495737
ENSG00000132475	H3F3B	ENSG00000166136	NDUFB8	1.21705471233396
ENSG00000198034	RPS4X	ENSG00000170889	RPS9	1.21189493679177
ENSG00000186010	NDUFA13	ENSG00000197111	PCBP2	1.21151594966345
ENSG00000125868	DSTN	ENSG00000102003	SYP	1.21083109044939
ENSG00000186010	NDUFA13	ENSG00000079215	SLC1A3	1.21083109044939
ENSG00000203879	GDI1	ENSG00000079215	SLC1A3	1.20917038479831
ENSG00000142168	SOD1	ENSG00000132475	H3F3B	1.20271249118393
ENSG00000127585	FBXL16	ENSG00000203879	GDI1	1.20266594658288
ENSG00000137726	FXYD6	ENSG00000079215	SLC1A3	1.20260364842454
ENSG00000137409	MTCH1	ENSG00000079215	SLC1A3	1.20254555443641
ENSG00000147403	RPL10	ENSG00000127585	FBXL16	1.20239388500535
ENSG00000102003	SYP	ENSG00000149273	RPS3	1.20141614127638
ENSG00000132475	H3F3B	ENSG00000124614	RPS10	1.20071780925879
ENSG00000186010	NDUFA13	ENSG00000102003	SYP	1.20012408476485
ENSG00000102003	SYP	ENSG00000137409	MTCH1	1.19925820001787
ENSG00000127585	FBXL16	ENSG00000115306	SPTBN1	1.19880850317603
ENSG00000111716	LDHB	ENSG00000127585	FBXL16	1.19786898839138
ENSG00000186010	NDUFA13	ENSG00000127585	FBXL16	1.19768752058523
ENSG00000224078	SNHG14	ENSG00000137409	MTCH1	1.19724551946915
ENSG00000189403	HMGB1	ENSG00000130294	KIF1A	1.19636926623427
ENSG00000224078	SNHG14	ENSG00000180354	MTURN	1.1957432226622
ENSG00000189403	HMGB1	ENSG00000102003	SYP	1.19539256482564
ENSG00000162244	RPL29	ENSG00000102003	SYP	1.19533148212426
ENSG00000127585	FBXL16	ENSG00000137409	MTCH1	1.19421998288811
ENSG00000155980	KIF5A	ENSG00000137409	MTCH1	1.19329853346508
ENSG00000147684	NDUFB9	ENSG00000102003	SYP	1.19168985580572
ENSG00000110700	RPS13	ENSG00000132475	H3F3B	1.18944539235013
ENSG00000067225	PKM	ENSG00000132475	H3F3B	1.18899430572257
ENSG00000132475	H3F3B	ENSG00000123560	PLP1	1.1889743236325
ENSG00000130522	JUND	ENSG00000106153	CHCHD2	1.18861758154833
ENSG00000145920	CPLX2	ENSG00000127585	FBXL16	1.18816884661118
ENSG00000127585	FBXL16	ENSG00000166136	NDUFB8	1.18764488185774
ENSG00000127585	FBXL16	ENSG00000079215	SLC1A3	1.18670004677467
ENSG00000108298	RPL19	ENSG00000102003	SYP	1.18630604583573
ENSG00000170889	RPS9	ENSG00000149273	RPS3	1.18629268584415
ENSG00000132475	H3F3B	ENSG00000115306	SPTBN1	1.18622428398548
ENSG00000130522	JUND	ENSG00000140988	RPS2	1.18514458955224
ENSG00000110700	RPS13	ENSG00000102003	SYP	1.18443612556112
ENSG00000162244	RPL29	ENSG00000127585	FBXL16	1.18366500829187
ENSG00000168028	RPSA	ENSG00000224078	SNHG14	1.18308335472515
ENSG00000197111	PCBP2	ENSG00000180354	MTURN	1.18297683096147
ENSG00000140988	RPS2	ENSG00000224078	SNHG14	1.18273551596854
ENSG00000110700	RPS13	ENSG00000189403	HMGB1	1.18271272503462
ENSG00000111716	LDHB	ENSG00000224078	SNHG14	1.18229660943836
ENSG00000110700	RPS13	ENSG00000127585	FBXL16	1.18215233735476
ENSG00000127585	FBXL16	ENSG00000161203	AP2M1	1.18174814188168
ENSG00000111669	TPI1	ENSG00000197111	PCBP2	1.18169691920445
ENSG00000166913	YWHAB	ENSG00000102003	SYP	1.18143167808755
ENSG00000102003	SYP	ENSG00000161203	AP2M1	1.18057660914179
ENSG00000168028	RPSA	ENSG00000127585	FBXL16	1.18036559363461
ENSG00000130522	JUND	ENSG00000167468	GPX4	1.17984650610583
ENSG00000110700	RPS13	ENSG00000224078	SNHG14	1.17965258453495
ENSG00000111669	TPI1	ENSG00000127585	FBXL16	1.1794289422453
ENSG00000106153	CHCHD2	ENSG00000079215	SLC1A3	1.17913260331508
ENSG00000122545	SEPTIN7	ENSG00000115306	SPTBN1	1.17847109717004
ENSG00000168028	RPSA	ENSG00000138814	PPP3CA	1.17837488534979
ENSG00000127585	FBXL16	ENSG00000074317	SNCB	1.17828471279964
ENSG00000111669	TPI1	ENSG00000132475	H3F3B	1.17803521039274
ENSG00000148303	RPL7A	ENSG00000102003	SYP	1.17720865370119
ENSG00000102003	SYP	ENSG00000079215	SLC1A3	1.17678323498785
ENSG00000127585	FBXL16	ENSG00000140988	RPS2	1.17620394123134
ENSG00000127585	FBXL16	ENSG00000180354	MTURN	1.17611319270499
ENSG00000125148	MT2A	ENSG00000186010	NDUFA13	1.17601512090204
ENSG00000143947	RPS27A	ENSG00000102003	SYP	1.17599074513526
ENSG00000130522	JUND	ENSG00000124614	RPS10	1.17565143893791
ENSG00000122545	SEPTIN7	ENSG00000224078	SNHG14	1.17533501617904
