source_ensembl	source	target_ensembl	target	ratio
ENSG00000140319	SRP14	ENSG00000132475	H3F3B	1.17524034631115
ENSG00000168028	RPSA	ENSG00000197111	PCBP2	1.1750565355043
ENSG00000148303	RPL7A	ENSG00000132475	H3F3B	1.17504309876217
ENSG00000123349	PFDN5	ENSG00000127585	FBXL16	1.17476527138742
ENSG00000132475	H3F3B	ENSG00000203879	GDI1	1.17463177533386
ENSG00000142676	RPL11	ENSG00000170889	RPS9	1.1742255458473
ENSG00000138814	PPP3CA	ENSG00000102003	SYP	1.17385636208654
ENSG00000155980	KIF5A	ENSG00000203879	GDI1	1.17375650030391
ENSG00000132475	H3F3B	ENSG00000224078	SNHG14	1.17337226908934
ENSG00000102003	SYP	ENSG00000224078	SNHG14	1.17325916206513
ENSG00000135940	COX5B	ENSG00000102003	SYP	1.17285849258615
ENSG00000168309	FAM107A	ENSG00000224078	SNHG14	1.17221480264939
ENSG00000125868	DSTN	ENSG00000224078	SNHG14	1.17219697360946
ENSG00000168028	RPSA	ENSG00000102003	SYP	1.17219697360946
ENSG00000089009	RPL6	ENSG00000127585	FBXL16	1.17215885412647
ENSG00000186010	NDUFA13	ENSG00000163536	SERPINI1	1.17212901626676
ENSG00000168309	FAM107A	ENSG00000102003	SYP	1.17207667953937
ENSG00000127585	FBXL16	ENSG00000131507	NDFIP1	1.17196688857403
ENSG00000168028	RPSA	ENSG00000132475	H3F3B	1.17195686225087
ENSG00000148303	RPL7A	ENSG00000127585	FBXL16	1.17161139313615
ENSG00000132475	H3F3B	ENSG00000167468	GPX4	1.17152485436068
ENSG00000147403	RPL10	ENSG00000224078	SNHG14	1.17136719002391
ENSG00000127585	FBXL16	ENSG00000197111	PCBP2	1.17051317486641
ENSG00000127585	FBXL16	ENSG00000106153	CHCHD2	1.17020307615873
ENSG00000067225	PKM	ENSG00000127585	FBXL16	1.1701219303938
ENSG00000224078	SNHG14	ENSG00000203879	GDI1	1.17005966336898
