Set	Gene
Ab	ENSG00000278535
Ab	ENSG00000164125
Ab	ENSG00000013275
Ab	ENSG00000100271
Ab	ENSG00000126653
Ab	ENSG00000116285
Ab	ENSG00000166225
Ab	ENSG00000146083
Ab	ENSG00000166902
Ab	ENSG00000148090
Ab	ENSG00000101040
Ab	ENSG00000067141
Ab	ENSG00000108010
Ab	ENSG00000176102
Ab	ENSG00000117500
Ab	ENSG00000105983
Ab	ENSG00000165476
Ab	ENSG00000079462
Ab	ENSG00000138303
Ab	ENSG00000132024
Ab	ENSG00000100814
Ab	ENSG00000169733
Ab	ENSG00000120451
Ab	ENSG00000073712
Ab	ENSG00000131871
Ab	ENSG00000162623
Ab	ENSG00000198743
Ab	ENSG00000102178
Ab	ENSG00000162377
Ab	ENSG00000151304
Ab	ENSG00000131669
Ab	ENSG00000100564
Ab	ENSG00000187778
Ab	ENSG00000239521
Ab	ENSG00000113282
Ab	ENSG00000185000
Ab	ENSG00000168952
Ab	ENSG00000175040
Ab	ENSG00000164104
Ab	ENSG00000168827
Ab	ENSG00000182534
Ab	ENSG00000130939
Ab	ENSG00000166971
Ab	ENSG00000108557
Ab	ENSG00000153310
Ab	ENSG00000094975
Ab	ENSG00000184867
Ab	ENSG00000167985
Ab	ENSG00000074201
Ab	ENSG00000164221
Ab	ENSG00000100146
Ab	ENSG00000221821
Ab	ENSG00000060138
Ab	ENSG00000115902
Ab	ENSG00000238227
Ab	ENSG00000204713
Ab	ENSG00000140497
Ab	ENSG00000198189
Ab	ENSG00000156502
Ab	ENSG00000114115
Ab	ENSG00000198739
Ab	ENSG00000103351
Ab	ENSG00000257621
Ab	ENSG00000206052
Ab	ENSG00000204574
Ab	ENSG00000163882
Ab	ENSG00000184922
Ab	ENSG00000160753
Ab	ENSG00000149926
Ab	ENSG00000128881
Ab	ENSG00000118873
Ab	ENSG00000168003
Ab	ENSG00000008394
Ab	ENSG00000138660
Ab	ENSG00000113658
Ab	ENSG00000136485
Ab	ENSG00000136270
Ab	ENSG00000146425
Ab	ENSG00000197114
Ab	ENSG00000073584
Ab	ENSG00000142920
Ab	ENSG00000102910
Ab	ENSG00000101347
Ab	ENSG00000067992
Ab	ENSG00000110925
Ab	ENSG00000116030
Ab	ENSG00000159210
Ab	ENSG00000119946
Ab	ENSG00000135972
Ab	ENSG00000188677
Ab	ENSG00000005075
Ab	ENSG00000102893
Ab	ENSG00000121022
Ab	ENSG00000132716
Ab	ENSG00000168610
Ab	ENSG00000126012
Ab	ENSG00000005020
Ab	ENSG00000011332
Ab	ENSG00000247077
Ab	ENSG00000112759
Ab	ENSG00000101654
Ab	ENSG00000033122
Ab	ENSG00000184985
Ab	ENSG00000205593
Ab	ENSG00000107738
Ab	ENSG00000135452
Ab	ENSG00000182004
Ab	ENSG00000116750
Ab	ENSG00000113643
Ab	ENSG00000148719
Ab	ENSG00000134250
Ab	ENSG00000101222
Ab	ENSG00000149923
Ab	ENSG00000163428
Ab	ENSG00000108262
Ab	ENSG00000130024
Ab	ENSG00000126016
Ab	ENSG00000164970
Ab	ENSG00000100503
Ab	ENSG00000171720
Ab	ENSG00000144566
Ab	ENSG00000152767
Ab	ENSG00000117139
Ab	ENSG00000067533
Ab	ENSG00000166452
Ab	ENSG00000125744
Ab	ENSG00000103507
Ab	ENSG00000132932
Ab	ENSG00000039123
Ab	ENSG00000003987
Ab	ENSG00000100580
Ab	ENSG00000278845
Ab	ENSG00000141424
Ab	ENSG00000116095
Ab	ENSG00000155256
Ab	ENSG00000130560
Ab	ENSG00000215039
Ab	ENSG00000172824
Ab	ENSG00000166275
Ab	ENSG00000149311
Ab	ENSG00000176386
Ab	ENSG00000148110
Ab	ENSG00000141568
Ab	ENSG00000143322
Ab	ENSG00000139496
Ab	ENSG00000214706
Ab	ENSG00000151422
Ab	ENSG00000128050
Ab	ENSG00000138386
Ab	ENSG00000259001
Ab	ENSG00000100532
Ab	ENSG00000130816
Ab	ENSG00000119408
Ab	ENSG00000138650
Ab	ENSG00000148516
Ab	ENSG00000112739
Ab	ENSG00000172137
Ab	ENSG00000085872
Ab	ENSG00000119487
Ab	ENSG00000173409
Ab	ENSG00000010818
Ab	ENSG00000260916
Ab	ENSG00000184470
Ab	ENSG00000100151
Ab	ENSG00000175348
Ab	ENSG00000185414
Ab	ENSG00000179958
Ab	ENSG00000007520
Ab	ENSG00000060971
Ab	ENSG00000077721
Ab	ENSG00000141429
Ab	ENSG00000132305
Ab	ENSG00000164885
Ab	ENSG00000134138
Ab	ENSG00000185324
Ab	ENSG00000151239
Ab	ENSG00000165949
Ab	ENSG00000198700
Ab	ENSG00000183684
Ab	ENSG00000146006
Ab	ENSG00000114982
Ab	ENSG00000107897
Ab	ENSG00000184924
Ab	ENSG00000090372
Ab	ENSG00000103423
Ab	ENSG00000120725
Ab	ENSG00000161202
Ab	ENSG00000128829
Ab	ENSG00000112078
Ab	ENSG00000153879
Ab	ENSG00000173992
Ab	ENSG00000116698
Ab	ENSG00000140400
Ab	ENSG00000148925
Ab	ENSG00000157637
Ab	ENSG00000131165
Ab	ENSG00000100359
Ab	ENSG00000088038
Ab	ENSG00000144635
Ab	ENSG00000106484
both	ENSG00000130208
both	ENSG00000168314
both	ENSG00000092820
both	ENSG00000162630
both	ENSG00000165355
both	ENSG00000155324
both	ENSG00000162595
both	ENSG00000170017
both	ENSG00000162819
both	ENSG00000163125
both	ENSG00000197971
both	ENSG00000172037
both	ENSG00000116731
both	ENSG00000262919
both	ENSG00000141646
both	ENSG00000121691
both	ENSG00000005513
both	ENSG00000184144
both	ENSG00000101972
both	ENSG00000103316
both	ENSG00000173267
both	ENSG00000139180
both	ENSG00000064787
both	ENSG00000123933
both	ENSG00000149231
both	ENSG00000189067
both	ENSG00000117505
both	ENSG00000134324
both	ENSG00000122367
both	ENSG00000167641
both	ENSG00000164236
both	ENSG00000138448
both	ENSG00000104852
both	ENSG00000108509
both	ENSG00000163110
both	ENSG00000103264
both	ENSG00000166444
both	ENSG00000225921
both	ENSG00000099864
both	ENSG00000178234
both	ENSG00000072958
both	ENSG00000175550
both	ENSG00000134001
both	ENSG00000090621
both	ENSG00000198963
both	ENSG00000243678
both	ENSG00000172915
both	ENSG00000136235
both	ENSG00000118785
both	ENSG00000081154
both	ENSG00000134243
both	ENSG00000138029
both	ENSG00000120675
both	ENSG00000174521
both	ENSG00000164944
both	ENSG00000138593
both	ENSG00000154319
both	ENSG00000128422
both	ENSG00000175334
both	ENSG00000153944
both	ENSG00000130005
both	ENSG00000124140
both	ENSG00000055130
both	ENSG00000135968
both	ENSG00000237187
both	ENSG00000105983
both	ENSG00000104722
both	ENSG00000170113
both	ENSG00000164188
both	ENSG00000042445
both	ENSG00000095261
both	ENSG00000130159
both	ENSG00000177432
both	ENSG00000231389
both	ENSG00000125970
both	ENSG00000155980
both	ENSG00000177337
both	ENSG00000139436
both	ENSG00000253729
both	ENSG00000135521
both	ENSG00000143543
both	ENSG00000278558
both	ENSG00000161999
both	ENSG00000182600
both	ENSG00000157064
both	ENSG00000077522
both	ENSG00000129226
both	ENSG00000186501
both	ENSG00000162599
both	ENSG00000100239
both	ENSG00000106635
both	ENSG00000116120
both	ENSG00000197380
both	ENSG00000157557
both	ENSG00000084090
both	ENSG00000203791
both	ENSG00000074706
both	ENSG00000104327
both	ENSG00000006128
both	ENSG00000010361
both	ENSG00000168818
both	ENSG00000242485
both	ENSG00000004779
both	ENSG00000198598
both	ENSG00000122705
both	ENSG00000184905
both	ENSG00000143862
both	ENSG00000087301
both	ENSG00000143499
both	ENSG00000242110
both	ENSG00000111642
both	ENSG00000105695
both	ENSG00000090539
both	ENSG00000277586
both	ENSG00000168214
both	ENSG00000132821
both	ENSG00000143158
both	ENSG00000130640
both	ENSG00000112146
both	ENSG00000089472
both	ENSG00000140105
both	ENSG00000136867
both	ENSG00000091428
both	ENSG00000146576
both	ENSG00000104435
both	ENSG00000092140
both	ENSG00000112096
both	ENSG00000113649
both	ENSG00000068903
both	ENSG00000260878
both	ENSG00000130558
both	ENSG00000113552
both	ENSG00000145919
both	ENSG00000163536
both	ENSG00000198720
both	ENSG00000196950
both	ENSG00000138175
both	ENSG00000168259
both	ENSG00000057608
both	ENSG00000132963
both	ENSG00000152642
both	ENSG00000070756
both	ENSG00000027697
both	ENSG00000153823
both	ENSG00000105516
both	ENSG00000182004
both	ENSG00000204287
both	ENSG00000172020
both	ENSG00000011566
both	ENSG00000240583
both	ENSG00000100319
both	ENSG00000130821
both	ENSG00000182400
both	ENSG00000156687
both	ENSG00000203667
both	ENSG00000144118
both	ENSG00000172663
both	ENSG00000060709
both	ENSG00000100097
both	ENSG00000114331
both	ENSG00000101265
both	ENSG00000147140
both	ENSG00000123560
both	ENSG00000100605
both	ENSG00000131437
both	ENSG00000153201
both	ENSG00000135047
both	ENSG00000069966
both	ENSG00000147684
both	ENSG00000125827
both	ENSG00000064995
both	ENSG00000093144
both	ENSG00000224470
both	ENSG00000151502
both	ENSG00000138686
both	ENSG00000236609
both	ENSG00000114670
both	ENSG00000107317
both	ENSG00000112531
both	ENSG00000260001
both	ENSG00000040341
both	ENSG00000183648
both	ENSG00000037241
both	ENSG00000060138
both	ENSG00000011600
both	ENSG00000101438
both	ENSG00000020577
both	ENSG00000131016
both	ENSG00000146950
both	ENSG00000108312
both	ENSG00000177885
both	ENSG00000157869
both	ENSG00000173660
both	ENSG00000183864
both	ENSG00000152234
both	ENSG00000145632
both	ENSG00000105856
both	ENSG00000244274
both	ENSG00000114023
both	ENSG00000162368
next_Ab	ENSG00000196972
next_Ab	ENSG00000175634
next_Ab	ENSG00000160284
next_Ab	ENSG00000198673
next_Ab	ENSG00000122484
next_Ab	ENSG00000003137
next_Ab	ENSG00000143337
next_Ab	ENSG00000021776
next_Ab	ENSG00000147383
next_Ab	ENSG00000162430
next_Ab	ENSG00000145022
next_Ab	ENSG00000129911
next_Ab	ENSG00000175426
next_Ab	ENSG00000118579
next_Ab	ENSG00000162636
next_Ab	ENSG00000134775
next_Ab	ENSG00000163960
next_Ab	ENSG00000158716
next_Ab	ENSG00000144619
next_Ab	ENSG00000165487
next_Ab	ENSG00000277972
next_Ab	ENSG00000163938
next_Ab	ENSG00000144959
next_Ab	ENSG00000052126
next_Ab	ENSG00000177432
next_Ab	ENSG00000187391
next_Ab	ENSG00000166167
next_Ab	ENSG00000185737
next_Ab	ENSG00000171714
next_Ab	ENSG00000162402
next_Ab	ENSG00000165055
next_Ab	ENSG00000204922
next_Ab	ENSG00000144357
next_Ab	ENSG00000257698
next_Ab	ENSG00000176049
next_Ab	ENSG00000260878
next_Ab	ENSG00000185774
next_Ab	ENSG00000117069
next_Ab	ENSG00000101438
next_Ab	ENSG00000137509
next_Ab	ENSG00000134909
next_Ab	ENSG00000137309
next_Ab	ENSG00000078902
next_Ab	ENSG00000065989
next_Ab	ENSG00000133460
next_Ab	ENSG00000182150
next_Ab	ENSG00000132823
next_Ab	ENSG00000131374
next_Ab	ENSG00000010295
next_Ab	ENSG00000139364
next_Ab	ENSG00000237515
next_Ab	ENSG00000008086
next_Ab	ENSG00000006625
next_Ab	ENSG00000057757
next_Ab	ENSG00000140694
next_Ab	ENSG00000075336
next_Ab	ENSG00000109519
next_Ab	ENSG00000006016
next_Ab	ENSG00000049449
next_Ab	ENSG00000165194
next_Ab	ENSG00000143756
next_Ab	ENSG00000154945
next_Ab	ENSG00000168872
next_Ab	ENSG00000088538
next_Ab	ENSG00000134452
next_Ab	ENSG00000145349
next_Ab	ENSG00000089335
next_Ab	ENSG00000133114
next_Ab	ENSG00000251322
next_Ab	ENSG00000213281
next_Ab	ENSG00000205629
next_Ab	ENSG00000066697
next_Ab	ENSG00000069248
next_Ab	ENSG00000134030
next_Ab	ENSG00000117114
next_Ab	ENSG00000120802
next_Ab	ENSG00000163285
next_Ab	ENSG00000163818
next_Ab	ENSG00000198846
next_Ab	ENSG00000185924
next_Ab	ENSG00000102038
next_Ab	ENSG00000138802
next_Ab	ENSG00000104907
next_Ab	ENSG00000161544
next_Ab	ENSG00000165704
next_Ab	ENSG00000170011
next_Ab	ENSG00000120137
next_Ab	ENSG00000211456
next_Ab	ENSG00000135426
next_Ab	ENSG00000067369
next_Ab	ENSG00000156671
next_Ab	ENSG00000132676
next_Ab	ENSG00000183955
next_Ab	ENSG00000120925
next_Ab	ENSG00000184277
next_Ab	ENSG00000230590
next_Ab	ENSG00000254999
next_Ab	ENSG00000188419
next_Ab	ENSG00000188130
next_Ab	ENSG00000012983
next_Ab	ENSG00000166348
next_Ab	ENSG00000134780
next_Ab	ENSG00000155886
next_Ab	ENSG00000178385
next_Ab	ENSG00000122512
next_Ab	ENSG00000146267
next_Ab	ENSG00000157869
next_Ab	ENSG00000066044
next_Ab	ENSG00000139842
next_Ab	ENSG00000163947
next_Ab	ENSG00000197969
next_Ab	ENSG00000160679
next_Ab	ENSG00000038382
next_Ab	ENSG00000188342
next_Ab	ENSG00000136160
next_Ab	ENSG00000152465
next_Ab	ENSG00000196950
next_Ab	ENSG00000173227
next_Ab	ENSG00000197223
next_Ab	ENSG00000114742
next_Ab	ENSG00000028310
next_Ab	ENSG00000128731
next_Ab	ENSG00000102119
next_Ab	ENSG00000033627
next_Ab	ENSG00000243156
next_Ab	ENSG00000157368
next_Ab	ENSG00000136699
next_Ab	ENSG00000160087
next_Ab	ENSG00000163754
next_Ab	ENSG00000110697
next_Ab	ENSG00000151461
next_Ab	ENSG00000095574
next_Ab	ENSG00000197157
next_Ab	ENSG00000018610
next_Ab	ENSG00000110619
next_Ab	ENSG00000165688
next_Ab	ENSG00000151229
next_Ab	ENSG00000103005
next_Ab	ENSG00000185880
next_Ab	ENSG00000149256
next_Ab	ENSG00000163032
next_Ab	ENSG00000006740
next_Ab	ENSG00000137414
next_Ab	ENSG00000077585
next_Ab	ENSG00000106591
next_Ab	ENSG00000160953
next_Ab	ENSG00000170091
next_Ab	ENSG00000187135
next_Ab	ENSG00000118432
next_Ab	ENSG00000196792
next_Ab	ENSG00000100129
next_Ab	ENSG00000099326
next_Ab	ENSG00000241370
next_Ab	ENSG00000244242
next_Ab	ENSG00000164116
next_Ab	ENSG00000072201
next_Ab	ENSG00000145050
next_Ab	ENSG00000121900
next_Ab	ENSG00000108641
next_Ab	ENSG00000116991
next_Ab	ENSG00000156504
next_Ab	ENSG00000189337
next_Ab	ENSG00000111726
next_Ab	ENSG00000147509
next_Ab	ENSG00000167969
next_Ab	ENSG00000082068
next_Ab	ENSG00000184939
next_Ab	ENSG00000182108
next_Ab	ENSG00000068354
next_Ab	ENSG00000113558
next_Ab	ENSG00000011243
next_Ab	ENSG00000123104
next_Ab	ENSG00000153774
next_Ab	ENSG00000011260
next_Ab	ENSG00000109436
next_Ab	ENSG00000124243
next_Ab	ENSG00000112679
next_Ab	ENSG00000130558
next_Ab	ENSG00000114745
next_Ab	ENSG00000050393
next_Ab	ENSG00000174136
next_Ab	ENSG00000112902
next_Ab	ENSG00000197562
next_Ab	ENSG00000245937
next_Ab	ENSG00000138629
next_Ab	ENSG00000133794
next_Ab	ENSG00000137364
next_Ab	ENSG00000177683
next_Ab	ENSG00000205758
next_Ab	ENSG00000056050
next_Ab	ENSG00000196177
next_Ab	ENSG00000173726
next_Ab	ENSG00000161654
next_Ab	ENSG00000148296
next_Ab	ENSG00000122140
next_Ab	ENSG00000168216
next_Ab	ENSG00000107864
next_Ab	ENSG00000198961
next_Ab	ENSG00000005448
next_Ab	ENSG00000167601
next_both	ENSG00000205302
next_both	ENSG00000102158
next_both	ENSG00000198837
next_both	ENSG00000103888
next_both	ENSG00000187479
next_both	ENSG00000137266
next_both	ENSG00000198218
next_both	ENSG00000165355
next_both	ENSG00000163069
next_both	ENSG00000108797
next_both	ENSG00000164050
next_both	ENSG00000117505
next_both	ENSG00000159210
next_both	ENSG00000065361
next_both	ENSG00000022840
next_both	ENSG00000161542
next_both	ENSG00000136371
next_both	ENSG00000078328
next_both	ENSG00000065000
next_both	ENSG00000169371
next_both	ENSG00000178028
next_both	ENSG00000126254
next_both	ENSG00000183576
next_both	ENSG00000112031
next_both	ENSG00000129521
next_both	ENSG00000143401
next_both	ENSG00000145860
next_both	ENSG00000185236
next_both	ENSG00000007516
next_both	ENSG00000169710
next_both	ENSG00000166068
next_both	ENSG00000134970
next_both	ENSG00000163349
next_both	ENSG00000169992
next_both	ENSG00000099875
next_both	ENSG00000068383
next_both	ENSG00000136235
next_both	ENSG00000137038
next_both	ENSG00000215021
next_both	ENSG00000107902
next_both	ENSG00000101246
next_both	ENSG00000145423
next_both	ENSG00000082641
next_both	ENSG00000204525
next_both	ENSG00000263878
next_both	ENSG00000092203
