Set	Gene
Ab	ENSG00000278535
Ab	ENSG00000164125
Ab	ENSG00000013275
Ab	ENSG00000100271
Ab	ENSG00000126653
Ab	ENSG00000116285
Ab	ENSG00000166225
Ab	ENSG00000146083
Ab	ENSG00000166902
Ab	ENSG00000148090
Ab	ENSG00000101040
Ab	ENSG00000067141
Ab	ENSG00000108010
Ab	ENSG00000176102
Ab	ENSG00000117500
Ab	ENSG00000105983
Ab	ENSG00000165476
Ab	ENSG00000079462
Ab	ENSG00000138303
Ab	ENSG00000132024
Ab	ENSG00000100814
Ab	ENSG00000169733
Ab	ENSG00000120451
Ab	ENSG00000073712
Ab	ENSG00000131871
Ab	ENSG00000162623
Ab	ENSG00000198743
Ab	ENSG00000102178
Ab	ENSG00000162377
Ab	ENSG00000151304
Ab	ENSG00000131669
Ab	ENSG00000100564
Ab	ENSG00000187778
Ab	ENSG00000239521
Ab	ENSG00000113282
Ab	ENSG00000185000
Ab	ENSG00000168952
Ab	ENSG00000175040
Ab	ENSG00000164104
Ab	ENSG00000168827
Ab	ENSG00000182534
Ab	ENSG00000130939
Ab	ENSG00000166971
Ab	ENSG00000108557
Ab	ENSG00000153310
Ab	ENSG00000094975
Ab	ENSG00000184867
Ab	ENSG00000167985
Ab	ENSG00000074201
Ab	ENSG00000164221
both	ENSG00000130208
both	ENSG00000168314
both	ENSG00000092820
both	ENSG00000162630
both	ENSG00000165355
both	ENSG00000155324
both	ENSG00000162595
both	ENSG00000170017
both	ENSG00000162819
both	ENSG00000163125
both	ENSG00000197971
both	ENSG00000172037
both	ENSG00000116731
both	ENSG00000262919
both	ENSG00000141646
both	ENSG00000121691
both	ENSG00000005513
both	ENSG00000184144
both	ENSG00000101972
both	ENSG00000103316
both	ENSG00000173267
both	ENSG00000139180
both	ENSG00000064787
both	ENSG00000123933
both	ENSG00000149231
both	ENSG00000189067
both	ENSG00000117505
both	ENSG00000134324
both	ENSG00000122367
both	ENSG00000167641
both	ENSG00000164236
both	ENSG00000138448
both	ENSG00000104852
both	ENSG00000108509
both	ENSG00000163110
both	ENSG00000103264
both	ENSG00000166444
both	ENSG00000225921
both	ENSG00000099864
both	ENSG00000178234
both	ENSG00000072958
both	ENSG00000175550
both	ENSG00000134001
both	ENSG00000090621
both	ENSG00000198963
both	ENSG00000243678
both	ENSG00000172915
both	ENSG00000136235
both	ENSG00000118785
both	ENSG00000081154
next_Ab	ENSG00000196972
next_Ab	ENSG00000175634
next_Ab	ENSG00000160284
next_Ab	ENSG00000198673
next_Ab	ENSG00000122484
next_Ab	ENSG00000003137
next_Ab	ENSG00000143337
next_Ab	ENSG00000021776
next_Ab	ENSG00000147383
next_Ab	ENSG00000162430
next_Ab	ENSG00000145022
next_Ab	ENSG00000129911
next_Ab	ENSG00000175426
next_Ab	ENSG00000118579
next_Ab	ENSG00000162636
next_Ab	ENSG00000134775
next_Ab	ENSG00000163960
next_Ab	ENSG00000158716
next_Ab	ENSG00000144619
next_Ab	ENSG00000165487
next_Ab	ENSG00000277972
next_Ab	ENSG00000163938
next_Ab	ENSG00000144959
next_Ab	ENSG00000052126
next_Ab	ENSG00000177432
next_Ab	ENSG00000187391
next_Ab	ENSG00000166167
next_Ab	ENSG00000185737
next_Ab	ENSG00000171714
next_Ab	ENSG00000162402
next_Ab	ENSG00000165055
next_Ab	ENSG00000204922
next_Ab	ENSG00000144357
next_Ab	ENSG00000257698
next_Ab	ENSG00000176049
next_Ab	ENSG00000260878
next_Ab	ENSG00000185774
next_Ab	ENSG00000117069
next_Ab	ENSG00000101438
next_Ab	ENSG00000137509
next_Ab	ENSG00000134909
next_Ab	ENSG00000137309
next_Ab	ENSG00000078902
next_Ab	ENSG00000065989
next_Ab	ENSG00000133460
next_Ab	ENSG00000182150
next_Ab	ENSG00000132823
next_Ab	ENSG00000131374
next_Ab	ENSG00000010295
next_Ab	ENSG00000139364
next_both	ENSG00000205302
next_both	ENSG00000102158
next_both	ENSG00000198837
next_both	ENSG00000103888
next_both	ENSG00000187479
next_both	ENSG00000137266
next_both	ENSG00000198218
next_both	ENSG00000165355
next_both	ENSG00000163069
next_both	ENSG00000108797
next_both	ENSG00000164050
next_both	ENSG00000117505
next_both	ENSG00000159210
next_both	ENSG00000065361
next_both	ENSG00000022840
next_both	ENSG00000161542
next_both	ENSG00000136371
next_both	ENSG00000078328
next_both	ENSG00000065000
next_both	ENSG00000169371
next_both	ENSG00000178028
next_both	ENSG00000126254
next_both	ENSG00000183576
next_both	ENSG00000112031
next_both	ENSG00000129521
next_both	ENSG00000143401
next_both	ENSG00000145860
next_both	ENSG00000185236
next_both	ENSG00000007516
next_both	ENSG00000169710
next_both	ENSG00000166068
next_both	ENSG00000134970
next_both	ENSG00000163349
next_both	ENSG00000169992
next_both	ENSG00000099875
next_both	ENSG00000068383
next_both	ENSG00000136235
next_both	ENSG00000137038
next_both	ENSG00000215021
next_both	ENSG00000107902
next_both	ENSG00000101246
next_both	ENSG00000145423
next_both	ENSG00000082641
next_both	ENSG00000204525
next_both	ENSG00000263878
next_both	ENSG00000092203
next_both	ENSG00000135052
next_both	ENSG00000139637
next_both	ENSG00000138623
next_both	ENSG00000104177
next_pT	ENSG00000144724
next_pT	ENSG00000129103
next_pT	ENSG00000154556
next_pT	ENSG00000110046
next_pT	ENSG00000164209
next_pT	ENSG00000026297
next_pT	ENSG00000198720
next_pT	ENSG00000249242
next_pT	ENSG00000013293
next_pT	ENSG00000149489
next_pT	ENSG00000078269
next_pT	ENSG00000169499
next_pT	ENSG00000172262
next_pT	ENSG00000232838
next_pT	ENSG00000100226
next_pT	ENSG00000125730
next_pT	ENSG00000038274
next_pT	ENSG00000089818
next_pT	ENSG00000126822
next_pT	ENSG00000152061
next_pT	ENSG00000113231
next_pT	ENSG00000118785
next_pT	ENSG00000068366
next_pT	ENSG00000079102
next_pT	ENSG00000174282
next_pT	ENSG00000177614
next_pT	ENSG00000170381
next_pT	ENSG00000164089
next_pT	ENSG00000165995
next_pT	ENSG00000059691
next_pT	ENSG00000133392
next_pT	ENSG00000156735
next_pT	ENSG00000204128
next_pT	ENSG00000165443
next_pT	ENSG00000179222
next_pT	ENSG00000156052
next_pT	ENSG00000141542
next_pT	ENSG00000155304
next_pT	ENSG00000106299
next_pT	ENSG00000152409
next_pT	ENSG00000116285
next_pT	ENSG00000111144
next_pT	ENSG00000101246
next_pT	ENSG00000177189
next_pT	ENSG00000183495
next_pT	ENSG00000164535
next_pT	ENSG00000138814
next_pT	ENSG00000167178
next_pT	ENSG00000091664
next_pT	ENSG00000134775
none	ENSG00000168314
none	ENSG00000197971
none	ENSG00000064787
none	ENSG00000101846
none	ENSG00000122585
none	ENSG00000164124
none	ENSG00000099194
none	ENSG00000169139
none	ENSG00000105855
none	ENSG00000128683
none	ENSG00000021645
none	ENSG00000068650
none	ENSG00000123560
none	ENSG00000134001
none	ENSG00000149557
none	ENSG00000113140
none	ENSG00000184221
none	ENSG00000107902
none	ENSG00000180354
none	ENSG00000131095
none	ENSG00000242265
none	ENSG00000154380
none	ENSG00000165478
none	ENSG00000187164
none	ENSG00000064393
none	ENSG00000021300
none	ENSG00000170113
none	ENSG00000071054
none	ENSG00000034053
none	ENSG00000080822
none	ENSG00000148180
none	ENSG00000011426
none	ENSG00000101843
none	ENSG00000166925
none	ENSG00000109846
none	ENSG00000240583
none	ENSG00000114993
none	ENSG00000115461
none	ENSG00000107317
none	ENSG00000119900
none	ENSG00000137710
none	ENSG00000084453
none	ENSG00000126226
none	ENSG00000224982
none	ENSG00000170381
none	ENSG00000019144
none	ENSG00000134243
none	ENSG00000024862
none	ENSG00000168283
none	ENSG00000005513
pT	ENSG00000134817
pT	ENSG00000115461
pT	ENSG00000131095
pT	ENSG00000026025
pT	ENSG00000149591
pT	ENSG00000245532
pT	ENSG00000019582
pT	ENSG00000204592
pT	ENSG00000204287
pT	ENSG00000164600
pT	ENSG00000197971
pT	ENSG00000086300
pT	ENSG00000134986
pT	ENSG00000250722
pT	ENSG00000038274
pT	ENSG00000196136
pT	ENSG00000159189
pT	ENSG00000170324
pT	ENSG00000166710
pT	ENSG00000067182
pT	ENSG00000074706
pT	ENSG00000101335
pT	ENSG00000125730
pT	ENSG00000147416
pT	ENSG00000124942
pT	ENSG00000113140
pT	ENSG00000021300
pT	ENSG00000198467
pT	ENSG00000172020
pT	ENSG00000143499
pT	ENSG00000121905
pT	ENSG00000110651
pT	ENSG00000171885
pT	ENSG00000162599
pT	ENSG00000183036
pT	ENSG00000103034
pT	ENSG00000160781
pT	ENSG00000104435
pT	ENSG00000163453
pT	ENSG00000132639
pT	ENSG00000026297
pT	ENSG00000133083
pT	ENSG00000137267
pT	ENSG00000173267
pT	ENSG00000100362
pT	ENSG00000148671
pT	ENSG00000182600
pT	ENSG00000162817
pT	ENSG00000188191
pT	ENSG00000169783
