Set	Gene
n_Ab	ENSG00000160087
n_Ab	ENSG00000127054
Ab	ENSG00000228594
n_Ab	ENSG00000197530
n_Ab	ENSG00000215790
n_Ab	ENSG00000187730
n_Ab	ENSG00000177133
n_Ab	ENSG00000116198
n_Ab	ENSG00000196581
n_Ab	ENSG00000116254
n_Ab	ENSG00000097021
n_Ab	ENSG00000215788
n_Ab	ENSG00000162408
Ab	ENSG00000116285
n_Ab	ENSG00000162426
Ab	ENSG00000142599
n_Ab	ENSG00000171603
Ab	ENSG00000130939
n_Ab	ENSG00000054523
Ab	ENSG00000142655
n_Ab	ENSG00000116649
n_Ab	ENSG00000132879
n_Ab	ENSG00000011021
n_Ab	ENSG00000162496
n_Ab	ENSG00000189337
Ab	ENSG00000197312
n_Ab	ENSG00000037637
n_Ab	ENSG00000159363
n_Ab	ENSG00000117118
n_Ab	ENSG00000117154
Ab	ENSG00000053372
n_Ab	ENSG00000076864
n_Ab	ENSG00000090686
Ab	ENSG00000173372
n_Ab	ENSG00000173369
n_Ab	ENSG00000004487
Ab	ENSG00000011007
n_Ab	ENSG00000057757
n_Ab	ENSG00000117308
n_Ab	ENSG00000117305
n_Ab	ENSG00000133226
Ab	ENSG00000117616
n_Ab	ENSG00000183726
n_Ab	ENSG00000117643
n_Ab	ENSG00000162430
n_Ab	ENSG00000117632
n_Ab	ENSG00000158008
n_Ab	ENSG00000142684
n_Ab	ENSG00000142669
n_Ab	ENSG00000204160
Ab	ENSG00000090273
Ab	ENSG00000142784
n_Ab	ENSG00000126698
n_Ab	ENSG00000130770
n_Ab	ENSG00000198492
n_Ab	ENSG00000116350
Ab	ENSG00000121753
Ab	ENSG00000025800
n_Ab	ENSG00000176261
n_Ab	ENSG00000134684
n_Ab	ENSG00000121900
Ab	ENSG00000004455
Ab	ENSG00000142920
n_Ab	ENSG00000163867
Ab	ENSG00000146463
n_Ab	ENSG00000020129
n_Ab	ENSG00000142686
n_Ab	ENSG00000116885
n_Ab	ENSG00000163875
n_Ab	ENSG00000134697
n_Ab	ENSG00000090621
Ab	ENSG00000084072
n_Ab	ENSG00000066136
Ab	ENSG00000127124
n_Ab	ENSG00000117395
Ab	ENSG00000178922
n_Ab	ENSG00000142949
n_Ab	ENSG00000117410
n_Ab	ENSG00000187147
n_Ab	ENSG00000070785
n_Ab	ENSG00000126088
n_Ab	ENSG00000117450
n_Ab	ENSG00000117448
n_Ab	ENSG00000085998
n_Ab	ENSG00000173660
n_Ab	ENSG00000117480
n_Ab	ENSG00000162368
n_Ab	ENSG00000162373
n_Ab	ENSG00000123091
n_Ab	ENSG00000085832
n_Ab	ENSG00000078618
n_Ab	ENSG00000157077
Ab	ENSG00000162377
n_Ab	ENSG00000162384
Ab	ENSG00000162385
Ab	ENSG00000081870
n_Ab	ENSG00000116221
n_Ab	ENSG00000157216
n_Ab	ENSG00000162402
n_Ab	ENSG00000079739
n_Ab	ENSG00000184588
Ab	ENSG00000116717
n_Ab	ENSG00000172380
n_Ab	ENSG00000162595
Ab	ENSG00000033122
n_Ab	ENSG00000066557
n_Ab	ENSG00000132485
n_Ab	ENSG00000172260
Ab	ENSG00000162623
n_Ab	ENSG00000117054
n_Ab	ENSG00000137955
n_Ab	ENSG00000117069
n_Ab	ENSG00000154027
n_Ab	ENSG00000036549
n_Ab	ENSG00000077254
n_Ab	ENSG00000117114
n_Ab	ENSG00000174021
n_Ab	ENSG00000117155
n_Ab	ENSG00000143013
n_Ab	ENSG00000233593
n_Ab	ENSG00000172031
n_Ab	ENSG00000174842
n_Ab	ENSG00000122484
n_Ab	ENSG00000067208
n_Ab	ENSG00000154511
Ab	ENSG00000117500
n_Ab	ENSG00000117528
n_Ab	ENSG00000122481
n_Ab	ENSG00000228971
n_Ab	ENSG00000117569
n_Ab	ENSG00000117600
Ab	ENSG00000162688
n_Ab	ENSG00000117620
n_Ab	ENSG00000162694
n_Ab	ENSG00000162636
n_Ab	ENSG00000116266
n_Ab	ENSG00000121957
n_Ab	ENSG00000121940
Ab	ENSG00000116299
n_Ab	ENSG00000143126
n_Ab	ENSG00000143106
n_Ab	ENSG00000168765
n_Ab	ENSG00000197106
n_Ab	ENSG00000134248
n_Ab	ENSG00000134255
n_Ab	ENSG00000121933
n_Ab	ENSG00000116473
n_Ab	ENSG00000197852
n_Ab	ENSG00000116489
Ab	ENSG00000197323
n_Ab	ENSG00000213281
n_Ab	ENSG00000009307
Ab	ENSG00000134250
n_Ab	ENSG00000265808
Ab	ENSG00000226067
n_Ab	ENSG00000232527
Ab	ENSG00000131779
Ab	ENSG00000131791
n_Ab	ENSG00000178104
n_Ab	ENSG00000274265
n_Ab	ENSG00000159164
n_Ab	ENSG00000023902
n_Ab	ENSG00000143418
Ab	ENSG00000143363
n_Ab	ENSG00000143363
Ab	ENSG00000213190
n_Ab	ENSG00000159352
Ab	ENSG00000143393
Ab	ENSG00000143436
n_Ab	ENSG00000143436
n_Ab	ENSG00000160679
Ab	ENSG00000143553
n_Ab	ENSG00000143621
n_Ab	ENSG00000143614
Ab	ENSG00000198837
n_Ab	ENSG00000143612
n_Ab	ENSG00000160714
Ab	ENSG00000143603
Ab	ENSG00000160688
Ab	ENSG00000143590
Ab	ENSG00000163462
n_Ab	ENSG00000173171
n_Ab	ENSG00000177628
n_Ab	ENSG00000160767
Ab	ENSG00000160753
n_Ab	ENSG00000163374
n_Ab	ENSG00000132676
n_Ab	ENSG00000116580
n_Ab	ENSG00000160803
n_Ab	ENSG00000196189
n_Ab	ENSG00000160785
Ab	ENSG00000198952
n_Ab	ENSG00000116604
n_Ab	ENSG00000160818
n_Ab	ENSG00000143314
n_Ab	ENSG00000143294
n_Ab	ENSG00000163565
n_Ab	ENSG00000158716
Ab	ENSG00000177807
Ab	ENSG00000132716
n_Ab	ENSG00000162736
n_Ab	ENSG00000215845
n_Ab	ENSG00000162755
n_Ab	ENSG00000248485
Ab	ENSG00000198929
n_Ab	ENSG00000152332
Ab	ENSG00000117143
n_Ab	ENSG00000162733
n_Ab	ENSG00000152382
n_Ab	ENSG00000143195
n_Ab	ENSG00000117477
n_Ab	ENSG00000117533
Ab	ENSG00000010165
n_Ab	ENSG00000197959
Ab	ENSG00000094975
n_Ab	ENSG00000143207
n_Ab	ENSG00000198797
Ab	ENSG00000143322
n_Ab	ENSG00000143337
n_Ab	ENSG00000143324
n_Ab	ENSG00000135823
n_Ab	ENSG00000162783
Ab	ENSG00000116698
n_Ab	ENSG00000143344
n_Ab	ENSG00000116406
n_Ab	ENSG00000121481
n_Ab	ENSG00000047410
n_Ab	ENSG00000116741
Ab	ENSG00000116750
Ab	ENSG00000116747
Ab	ENSG00000023572
n_Ab	ENSG00000134371
n_Ab	ENSG00000116852
n_Ab	ENSG00000134369
Ab	ENSG00000198700
n_Ab	ENSG00000198892
n_Ab	ENSG00000134375
n_Ab	ENSG00000077152
Ab	ENSG00000117139
n_Ab	ENSG00000183155
n_Ab	ENSG00000117153
n_Ab	ENSG00000159348
n_Ab	ENSG00000163485
Ab	ENSG00000182004
n_Ab	ENSG00000143850
n_Ab	ENSG00000158615
n_Ab	ENSG00000163531
n_Ab	ENSG00000117266
n_Ab	ENSG00000133065
n_Ab	ENSG00000076356
n_Ab	ENSG00000008118
n_Ab	ENSG00000143473
Ab	ENSG00000117625
n_Ab	ENSG00000170385
n_Ab	ENSG00000203705
n_Ab	ENSG00000143499
Ab	ENSG00000067533
n_Ab	ENSG00000136628
n_Ab	ENSG00000067704
Ab	ENSG00000118873
n_Ab	ENSG00000116141
n_Ab	ENSG00000162817
n_Ab	ENSG00000143502
n_Ab	ENSG00000143756
Ab	ENSG00000143786
Ab	ENSG00000143819
n_Ab	ENSG00000163050
Ab	ENSG00000143740
n_Ab	ENSG00000081692
n_Ab	ENSG00000162910
Ab	ENSG00000168118
n_Ab	ENSG00000069248
n_Ab	ENSG00000143641
Ab	ENSG00000173409
n_Ab	ENSG00000116903
n_Ab	ENSG00000116991
n_Ab	ENSG00000183780
n_Ab	ENSG00000173726
n_Ab	ENSG00000054267
n_Ab	ENSG00000077585
Ab	ENSG00000086619
n_Ab	ENSG00000116977
n_Ab	ENSG00000116984
n_Ab	ENSG00000198626
Ab	ENSG00000133019
Ab	ENSG00000182901
n_Ab	ENSG00000117020
n_Ab	ENSG00000151353
Ab	ENSG00000171853
n_Ab	ENSG00000182551
n_Ab	ENSG00000232044
Ab	ENSG00000151693
n_Ab	ENSG00000119203
n_Ab	ENSG00000134330
n_Ab	ENSG00000134308
Ab	ENSG00000115758
n_Ab	ENSG00000162975
n_Ab	ENSG00000162981
n_Ab	ENSG00000079785
n_Ab	ENSG00000197872
n_Ab	ENSG00000163032
n_Ab	ENSG00000240857
n_Ab	ENSG00000119782
Ab	ENSG00000184924
n_Ab	ENSG00000138031
n_Ab	ENSG00000084710
Ab	ENSG00000138101
n_Ab	ENSG00000084731
n_Ab	ENSG00000138029
Ab	ENSG00000138018
n_Ab	ENSG00000157851
n_Ab	ENSG00000084764
Ab	ENSG00000228474
n_Ab	ENSG00000115194
Ab	ENSG00000115234
Ab	ENSG00000115226
Ab	ENSG00000119760
n_Ab	ENSG00000013016
n_Ab	ENSG00000021574
n_Ab	ENSG00000119820
n_Ab	ENSG00000119812
n_Ab	ENSG00000260025
n_Ab	ENSG00000171055
n_Ab	ENSG00000055332
n_Ab	ENSG00000138061
n_Ab	ENSG00000115904
n_Ab	ENSG00000152154
