Set	Gene
Ab	ENSG00000278535
Ab	ENSG00000164125
Ab	ENSG00000013275
Ab	ENSG00000100271
Ab	ENSG00000126653
Ab	ENSG00000116285
Ab	ENSG00000166225
Ab	ENSG00000146083
Ab	ENSG00000166902
Ab	ENSG00000148090
Ab	ENSG00000101040
Ab	ENSG00000067141
Ab	ENSG00000108010
Ab	ENSG00000176102
Ab	ENSG00000117500
Ab	ENSG00000105983
Ab	ENSG00000165476
Ab	ENSG00000079462
Ab	ENSG00000138303
Ab	ENSG00000132024
Ab	ENSG00000100814
Ab	ENSG00000169733
Ab	ENSG00000120451
Ab	ENSG00000073712
Ab	ENSG00000131871
Ab	ENSG00000162623
Ab	ENSG00000198743
Ab	ENSG00000102178
Ab	ENSG00000162377
Ab	ENSG00000151304
Ab	ENSG00000131669
Ab	ENSG00000100564
Ab	ENSG00000187778
Ab	ENSG00000239521
Ab	ENSG00000113282
Ab	ENSG00000185000
Ab	ENSG00000168952
Ab	ENSG00000175040
Ab	ENSG00000164104
Ab	ENSG00000168827
Ab	ENSG00000182534
Ab	ENSG00000130939
Ab	ENSG00000166971
Ab	ENSG00000108557
Ab	ENSG00000153310
Ab	ENSG00000094975
Ab	ENSG00000184867
Ab	ENSG00000167985
Ab	ENSG00000074201
Ab	ENSG00000164221
Ab	ENSG00000100146
Ab	ENSG00000221821
Ab	ENSG00000060138
Ab	ENSG00000115902
Ab	ENSG00000238227
Ab	ENSG00000204713
Ab	ENSG00000140497
Ab	ENSG00000198189
Ab	ENSG00000156502
Ab	ENSG00000114115
Ab	ENSG00000198739
Ab	ENSG00000103351
Ab	ENSG00000257621
Ab	ENSG00000206052
Ab	ENSG00000204574
Ab	ENSG00000163882
Ab	ENSG00000184922
Ab	ENSG00000160753
Ab	ENSG00000149926
Ab	ENSG00000128881
Ab	ENSG00000118873
Ab	ENSG00000168003
Ab	ENSG00000008394
Ab	ENSG00000138660
Ab	ENSG00000113658
Ab	ENSG00000136485
Ab	ENSG00000136270
Ab	ENSG00000146425
Ab	ENSG00000197114
Ab	ENSG00000073584
Ab	ENSG00000142920
Ab	ENSG00000102910
Ab	ENSG00000101347
Ab	ENSG00000067992
Ab	ENSG00000110925
Ab	ENSG00000116030
Ab	ENSG00000159210
Ab	ENSG00000119946
Ab	ENSG00000135972
Ab	ENSG00000188677
Ab	ENSG00000005075
Ab	ENSG00000102893
Ab	ENSG00000121022
Ab	ENSG00000132716
Ab	ENSG00000168610
Ab	ENSG00000126012
Ab	ENSG00000005020
Ab	ENSG00000011332
Ab	ENSG00000247077
Ab	ENSG00000112759
both	ENSG00000130208
both	ENSG00000168314
both	ENSG00000092820
both	ENSG00000162630
both	ENSG00000165355
both	ENSG00000155324
both	ENSG00000162595
both	ENSG00000170017
both	ENSG00000162819
both	ENSG00000163125
both	ENSG00000197971
both	ENSG00000172037
both	ENSG00000116731
both	ENSG00000262919
both	ENSG00000141646
both	ENSG00000121691
both	ENSG00000005513
both	ENSG00000184144
both	ENSG00000101972
both	ENSG00000103316
both	ENSG00000173267
both	ENSG00000139180
both	ENSG00000064787
both	ENSG00000123933
both	ENSG00000149231
both	ENSG00000189067
both	ENSG00000117505
both	ENSG00000134324
both	ENSG00000122367
both	ENSG00000167641
both	ENSG00000164236
both	ENSG00000138448
both	ENSG00000104852
both	ENSG00000108509
both	ENSG00000163110
both	ENSG00000103264
both	ENSG00000166444
both	ENSG00000225921
both	ENSG00000099864
both	ENSG00000178234
both	ENSG00000072958
both	ENSG00000175550
both	ENSG00000134001
both	ENSG00000090621
both	ENSG00000198963
both	ENSG00000243678
both	ENSG00000172915
both	ENSG00000136235
both	ENSG00000118785
both	ENSG00000081154
both	ENSG00000134243
both	ENSG00000138029
both	ENSG00000120675
both	ENSG00000174521
both	ENSG00000164944
both	ENSG00000138593
both	ENSG00000154319
both	ENSG00000128422
both	ENSG00000175334
both	ENSG00000153944
both	ENSG00000130005
both	ENSG00000124140
both	ENSG00000055130
both	ENSG00000135968
both	ENSG00000237187
both	ENSG00000105983
both	ENSG00000104722
both	ENSG00000170113
both	ENSG00000164188
both	ENSG00000042445
both	ENSG00000095261
both	ENSG00000130159
both	ENSG00000177432
both	ENSG00000231389
both	ENSG00000125970
both	ENSG00000155980
both	ENSG00000177337
both	ENSG00000139436
both	ENSG00000253729
both	ENSG00000135521
both	ENSG00000143543
both	ENSG00000278558
both	ENSG00000161999
both	ENSG00000182600
both	ENSG00000157064
both	ENSG00000077522
both	ENSG00000129226
both	ENSG00000186501
both	ENSG00000162599
both	ENSG00000100239
both	ENSG00000106635
both	ENSG00000116120
both	ENSG00000197380
both	ENSG00000157557
both	ENSG00000084090
both	ENSG00000203791
both	ENSG00000074706
both	ENSG00000104327
both	ENSG00000006128
both	ENSG00000010361
next_Ab	ENSG00000196972
next_Ab	ENSG00000175634
next_Ab	ENSG00000160284
next_Ab	ENSG00000198673
next_Ab	ENSG00000122484
next_Ab	ENSG00000003137
next_Ab	ENSG00000143337
next_Ab	ENSG00000021776
next_Ab	ENSG00000147383
next_Ab	ENSG00000162430
next_Ab	ENSG00000145022
next_Ab	ENSG00000129911
next_Ab	ENSG00000175426
next_Ab	ENSG00000118579
next_Ab	ENSG00000162636
next_Ab	ENSG00000134775
next_Ab	ENSG00000163960
next_Ab	ENSG00000158716
next_Ab	ENSG00000144619
next_Ab	ENSG00000165487
next_Ab	ENSG00000277972
next_Ab	ENSG00000163938
next_Ab	ENSG00000144959
next_Ab	ENSG00000052126
next_Ab	ENSG00000177432
next_Ab	ENSG00000187391
next_Ab	ENSG00000166167
next_Ab	ENSG00000185737
next_Ab	ENSG00000171714
next_Ab	ENSG00000162402
next_Ab	ENSG00000165055
next_Ab	ENSG00000204922
next_Ab	ENSG00000144357
next_Ab	ENSG00000257698
next_Ab	ENSG00000176049
next_Ab	ENSG00000260878
next_Ab	ENSG00000185774
next_Ab	ENSG00000117069
next_Ab	ENSG00000101438
next_Ab	ENSG00000137509
next_Ab	ENSG00000134909
next_Ab	ENSG00000137309
next_Ab	ENSG00000078902
next_Ab	ENSG00000065989
next_Ab	ENSG00000133460
next_Ab	ENSG00000182150
next_Ab	ENSG00000132823
next_Ab	ENSG00000131374
next_Ab	ENSG00000010295
next_Ab	ENSG00000139364
next_Ab	ENSG00000237515
next_Ab	ENSG00000008086
next_Ab	ENSG00000006625
next_Ab	ENSG00000057757
next_Ab	ENSG00000140694
next_Ab	ENSG00000075336
next_Ab	ENSG00000109519
next_Ab	ENSG00000006016
next_Ab	ENSG00000049449
next_Ab	ENSG00000165194
next_Ab	ENSG00000143756
next_Ab	ENSG00000154945
next_Ab	ENSG00000168872
next_Ab	ENSG00000088538
next_Ab	ENSG00000134452
next_Ab	ENSG00000145349
next_Ab	ENSG00000089335
next_Ab	ENSG00000133114
next_Ab	ENSG00000251322
next_Ab	ENSG00000213281
next_Ab	ENSG00000205629
next_Ab	ENSG00000066697
next_Ab	ENSG00000069248
next_Ab	ENSG00000134030
next_Ab	ENSG00000117114
next_Ab	ENSG00000120802
next_Ab	ENSG00000163285
next_Ab	ENSG00000163818
next_Ab	ENSG00000198846
next_Ab	ENSG00000185924
next_Ab	ENSG00000102038
next_Ab	ENSG00000138802
next_Ab	ENSG00000104907
next_Ab	ENSG00000161544
next_Ab	ENSG00000165704
next_Ab	ENSG00000170011
next_Ab	ENSG00000120137
next_Ab	ENSG00000211456
next_Ab	ENSG00000135426
next_Ab	ENSG00000067369
next_Ab	ENSG00000156671
next_Ab	ENSG00000132676
next_Ab	ENSG00000183955
next_Ab	ENSG00000120925
next_Ab	ENSG00000184277
next_Ab	ENSG00000230590
next_Ab	ENSG00000254999
next_Ab	ENSG00000188419
next_Ab	ENSG00000188130
next_Ab	ENSG00000012983
next_both	ENSG00000205302
next_both	ENSG00000102158
next_both	ENSG00000198837
next_both	ENSG00000103888
next_both	ENSG00000187479
next_both	ENSG00000137266
next_both	ENSG00000198218
next_both	ENSG00000165355
next_both	ENSG00000163069
next_both	ENSG00000108797
next_both	ENSG00000164050
next_both	ENSG00000117505
next_both	ENSG00000159210
next_both	ENSG00000065361
next_both	ENSG00000022840
next_both	ENSG00000161542
next_both	ENSG00000136371
next_both	ENSG00000078328
next_both	ENSG00000065000
next_both	ENSG00000169371
next_both	ENSG00000178028
next_both	ENSG00000126254
next_both	ENSG00000183576
next_both	ENSG00000112031
next_both	ENSG00000129521
next_both	ENSG00000143401
next_both	ENSG00000145860
next_both	ENSG00000185236
next_both	ENSG00000007516
next_both	ENSG00000169710
next_both	ENSG00000166068
next_both	ENSG00000134970
next_both	ENSG00000163349
next_both	ENSG00000169992
next_both	ENSG00000099875
next_both	ENSG00000068383
next_both	ENSG00000136235
next_both	ENSG00000137038
next_both	ENSG00000215021
next_both	ENSG00000107902
next_both	ENSG00000101246
next_both	ENSG00000145423
next_both	ENSG00000082641
next_both	ENSG00000204525
next_both	ENSG00000263878
next_both	ENSG00000092203
next_both	ENSG00000135052
next_both	ENSG00000139637
next_both	ENSG00000138623
next_both	ENSG00000104177
next_both	ENSG00000047346
next_both	ENSG00000119048
next_both	ENSG00000090020
next_both	ENSG00000139910
next_both	ENSG00000092010
next_both	ENSG00000143324
next_both	ENSG00000130717
next_both	ENSG00000149582
next_both	ENSG00000103266
next_both	ENSG00000161057
next_both	ENSG00000182253
next_both	ENSG00000148730
next_both	ENSG00000164692
next_both	ENSG00000158552
next_both	ENSG00000151247
next_both	ENSG00000197147
next_both	ENSG00000112062
next_both	ENSG00000151502
next_both	ENSG00000234745
next_both	ENSG00000073670
next_both	ENSG00000164683
next_both	ENSG00000164167
next_both	ENSG00000248092
next_both	ENSG00000072518
next_both	ENSG00000144834
next_both	ENSG00000078618
next_both	ENSG00000171566
next_both	ENSG00000100814
next_both	ENSG00000171385
next_both	ENSG00000173599
next_both	ENSG00000172292
next_both	ENSG00000170873
next_both	ENSG00000167088
next_both	ENSG00000107518
next_both	ENSG00000090013
next_both	ENSG00000173456
next_both	ENSG00000140740
next_both	ENSG00000166257
next_both	ENSG00000170776
next_both	ENSG00000067182
next_both	ENSG00000204580
next_both	ENSG00000113231
next_both	ENSG00000106484
next_both	ENSG00000197006
next_both	ENSG00000071127
next_both	ENSG00000075043
next_both	ENSG00000122986
next_both	ENSG00000138095
next_both	ENSG00000103197
next_both	ENSG00000070610
next_pT	ENSG00000144724
next_pT	ENSG00000129103
next_pT	ENSG00000154556
next_pT	ENSG00000110046
next_pT	ENSG00000164209
next_pT	ENSG00000026297
next_pT	ENSG00000198720
next_pT	ENSG00000249242
next_pT	ENSG00000013293
next_pT	ENSG00000149489
next_pT	ENSG00000078269
next_pT	ENSG00000169499
next_pT	ENSG00000172262
next_pT	ENSG00000232838
next_pT	ENSG00000100226
next_pT	ENSG00000125730
next_pT	ENSG00000038274
next_pT	ENSG00000089818
next_pT	ENSG00000126822
next_pT	ENSG00000152061
next_pT	ENSG00000113231
next_pT	ENSG00000118785
next_pT	ENSG00000068366
next_pT	ENSG00000079102
next_pT	ENSG00000174282
next_pT	ENSG00000177614
next_pT	ENSG00000170381
next_pT	ENSG00000164089
next_pT	ENSG00000165995
next_pT	ENSG00000059691
next_pT	ENSG00000133392
next_pT	ENSG00000156735
next_pT	ENSG00000204128
next_pT	ENSG00000165443
next_pT	ENSG00000179222
next_pT	ENSG00000156052
next_pT	ENSG00000141542
next_pT	ENSG00000155304
next_pT	ENSG00000106299
next_pT	ENSG00000152409
next_pT	ENSG00000116285
next_pT	ENSG00000111144
next_pT	ENSG00000101246
next_pT	ENSG00000177189
next_pT	ENSG00000183495
next_pT	ENSG00000164535
next_pT	ENSG00000138814
next_pT	ENSG00000167178
next_pT	ENSG00000091664
next_pT	ENSG00000134775
next_pT	ENSG00000074319
next_pT	ENSG00000164609
next_pT	ENSG00000012983
next_pT	ENSG00000130511
next_pT	ENSG00000064042
next_pT	ENSG00000025039
next_pT	ENSG00000143436
next_pT	ENSG00000131378
next_pT	ENSG00000088538
next_pT	ENSG00000171853
next_pT	ENSG00000070961
next_pT	ENSG00000186998
next_pT	ENSG00000100362
next_pT	ENSG00000128595
next_pT	ENSG00000175048
next_pT	ENSG00000152778
next_pT	ENSG00000186665
next_pT	ENSG00000104093
next_pT	ENSG00000132676
next_pT	ENSG00000170043
next_pT	ENSG00000105618
next_pT	ENSG00000101856
next_pT	ENSG00000170324
next_pT	ENSG00000148688
next_pT	ENSG00000125447
next_pT	ENSG00000111850
next_pT	ENSG00000089847
next_pT	ENSG00000011332
next_pT	ENSG00000188643
next_pT	ENSG00000143248
next_pT	ENSG00000111647
next_pT	ENSG00000165379
next_pT	ENSG00000183258
next_pT	ENSG00000065057
next_pT	ENSG00000160256
next_pT	ENSG00000093000
next_pT	ENSG00000173163
next_pT	ENSG00000184408
next_pT	ENSG00000146063
next_pT	ENSG00000153786
next_pT	ENSG00000085733
next_pT	ENSG00000077312
next_pT	ENSG00000153989
next_pT	ENSG00000160679
next_pT	ENSG00000076043
next_pT	ENSG00000050030
next_pT	ENSG00000113360
next_pT	ENSG00000162520
next_pT	ENSG00000111262
next_pT	ENSG00000038427
none	ENSG00000168314
none	ENSG00000197971
none	ENSG00000064787
none	ENSG00000101846
none	ENSG00000122585
none	ENSG00000164124
none	ENSG00000099194
none	ENSG00000169139
none	ENSG00000105855
none	ENSG00000128683
none	ENSG00000021645
none	ENSG00000068650
none	ENSG00000123560
none	ENSG00000134001
none	ENSG00000149557
none	ENSG00000113140
none	ENSG00000184221
none	ENSG00000107902
none	ENSG00000180354
none	ENSG00000131095
none	ENSG00000242265
none	ENSG00000154380
none	ENSG00000165478
none	ENSG00000187164
none	ENSG00000064393
none	ENSG00000021300
none	ENSG00000170113
none	ENSG00000071054
none	ENSG00000034053
none	ENSG00000080822
none	ENSG00000148180
none	ENSG00000011426
none	ENSG00000101843
none	ENSG00000166925
none	ENSG00000109846
none	ENSG00000240583
none	ENSG00000114993
none	ENSG00000115461
none	ENSG00000107317
none	ENSG00000119900
none	ENSG00000137710
none	ENSG00000084453
none	ENSG00000126226
none	ENSG00000224982
none	ENSG00000170381
none	ENSG00000019144
none	ENSG00000134243
none	ENSG00000024862
none	ENSG00000168283
none	ENSG00000005513
none	ENSG00000214756
none	ENSG00000157985
none	ENSG00000213578
none	ENSG00000143248
none	ENSG00000115468
none	ENSG00000164161
none	ENSG00000169255
none	ENSG00000066248
none	ENSG00000136267
none	ENSG00000141934
none	ENSG00000163444
none	ENSG00000145423
none	ENSG00000136541
none	ENSG00000251562
none	ENSG00000168539
none	ENSG00000101265
none	ENSG00000137776
none	ENSG00000166266
none	ENSG00000171885
none	ENSG00000178234
none	ENSG00000108679
none	ENSG00000102265
none	ENSG00000116106
none	ENSG00000178209
none	ENSG00000138459
none	ENSG00000053438
none	ENSG00000079308
none	ENSG00000128000
none	ENSG00000138085
none	ENSG00000162630
none	ENSG00000134825
none	ENSG00000102078
none	ENSG00000078549
none	ENSG00000115419
none	ENSG00000135720
none	ENSG00000046653
none	ENSG00000162607
none	ENSG00000160781
none	ENSG00000112531
none	ENSG00000145191
none	ENSG00000185432
none	ENSG00000019582
none	ENSG00000249436
none	ENSG00000120885
none	ENSG00000203618
none	ENSG00000075223
none	ENSG00000135744
none	ENSG00000115935
none	ENSG00000164615
none	ENSG00000115355
pT	ENSG00000134817
pT	ENSG00000115461
pT	ENSG00000131095
pT	ENSG00000026025
pT	ENSG00000149591
pT	ENSG00000245532
pT	ENSG00000019582
pT	ENSG00000204592
pT	ENSG00000204287
pT	ENSG00000164600
pT	ENSG00000197971
pT	ENSG00000086300
pT	ENSG00000134986
pT	ENSG00000250722
pT	ENSG00000038274
pT	ENSG00000196136
pT	ENSG00000159189
pT	ENSG00000170324
pT	ENSG00000166710
pT	ENSG00000067182
pT	ENSG00000074706
pT	ENSG00000101335
pT	ENSG00000125730
pT	ENSG00000147416
pT	ENSG00000124942
pT	ENSG00000113140
pT	ENSG00000021300
pT	ENSG00000198467
pT	ENSG00000172020
pT	ENSG00000143499
pT	ENSG00000121905
pT	ENSG00000110651
pT	ENSG00000171885
pT	ENSG00000162599
pT	ENSG00000183036
pT	ENSG00000103034
pT	ENSG00000160781
pT	ENSG00000104435
pT	ENSG00000163453
pT	ENSG00000132639
pT	ENSG00000026297
pT	ENSG00000133083
pT	ENSG00000137267
pT	ENSG00000173267
pT	ENSG00000100362
pT	ENSG00000148671
pT	ENSG00000182600
pT	ENSG00000162817
pT	ENSG00000188191
pT	ENSG00000169783
pT	ENSG00000154277
pT	ENSG00000046653
pT	ENSG00000112531
pT	ENSG00000164172
pT	ENSG00000100321
pT	ENSG00000117408
pT	ENSG00000106211
pT	ENSG00000198963
pT	ENSG00000104490
