"","top","model_type","test","gene","stat","pval","fdr","gene_index","ensembl","in_rows","in_rows_top20","results"
"1",1,"enrichment","none","AC092924.2",6.02687141398402,3.7780871957792e-07,0.00405847148484208,4400,"ENSG00000287706","c(1; 35956; 44788; 82791; 104109; 121587; 143146; 146195; 167144; 187957; 208842; 229738; 250615; 290065; 298588; 316413; 340836; 361082; 376790; 397750; 419760; 440389; 470866; 493843; 515103; 533779; 558893; 576475; 605630; 626449; 647404; 668287; 689159; 710050; 712368; 745613; 769556; 786901; 808423; 834483; 855291; 875049; 896188; 907479; 926270; 946778; 969870; 986524; 1010710; 1023426)","c(1; 146195; 187957; 208842; 229738; 250615)","c(""none_top1""; ""none-Abpos_top7""; ""none-pTpos_top1""; ""none-next_pTpos_top2""; ""none-both_top14""; ""none-next_both_top7"")"
"2",2,"enrichment","none","CCDC183",6.01827444104224,3.88668021915541e-07,0.00405847148484208,10075,"ENSG00000213213","c(2; 37230; 58967; 77135; 104296; 122508; 129911; 146190; 167073; 187961; 208841; 229730; 250667; 279968; 303474; 320317; 346668; 372903; 387373; 404104; 430348; 456775; 463127; 487750; 515849; 538818; 563112; 582599; 605635; 626520; 647400; 668288; 689167; 709998; 722465; 740727; 765652; 781069; 796602; 823900; 848937; 864461; 879802; 915218; 932363; 946032; 964831; 982305; 1004586; 1023377)","c(2; 146190; 167073; 187961; 208841; 229730)","c(""none_top2""; ""none-Abpos_top2""; ""none-next_Abpos_top1""; ""none-pTpos_top5""; ""none-next_pTpos_top1""; ""none-both_top6"")"
"3",3,"enrichment","none","SLC26A6",5.66477703074599,1.24455377950437e-06,0.0065751631486875,3818,"ENSG00000225697","c(3; 37591; 59277; 80775; 97933; 122718; 133260; 146194; 167078; 187959; 208852; 229737; 250678; 280212; 300843; 325849; 346783; 371838; 384758; 409853; 430456; 455785; 472951; 490787; 516514; 528155; 560381; 581867; 605631; 626515; 647402; 668277; 689160; 709987; 722221; 743358; 760120; 780954; 797667; 826515; 843188; 864353; 880792; 905394; 929326; 945367; 975494; 985036; 1005318; 1023423)","c(3; 146194; 167078; 187959; 208852; 229737)","c(""none_top3""; ""none-Abpos_top6""; ""none-next_Abpos_top6""; ""none-pTpos_top3""; ""none-next_pTpos_top12""; ""none-both_top13"")"
"4",4,"enrichment","none","AC069200.1",5.6611762858487,1.25936854025809e-06,0.0065751631486875,4965,"ENSG00000273257","c(4; 35077; 48524; 81189; 103871; 120909; 142441; 146210; 167133; 187958; 208843; 229753; 250628; 287731; 298751; 316399; 341270; 365034; 381031; 398508; 421672; 442113; 470588; 493657; 514901; 538185; 559024; 576458; 605615; 626460; 647403; 668286; 689144; 710037; 714702; 745450; 769570; 786467; 804471; 830242; 854533; 873137; 894464; 907757; 926456; 946980; 965464; 986393; 1010727; 1023537)","c(4; 187958; 208843; 250628)","c(""none_top4""; ""none-pTpos_top2""; ""none-next_pTpos_top3""; ""none-next_both_top20"")"
"5",5,"enrichment","none","AC092279.1",5.49786081790124,2.15253719262762e-06,0.00899071734616705,18168,"ENSG00000268362","c(5; 35154; 56957; 81008; 97862; 120969; 142506; 146221; 167092; 187960; 208858; 229762; 250633; 279089; 299136; 324022; 346716; 364952; 382969; 407956; 430390; 448987; 473416; 493092; 514295; 529748; 550698; 570415; 605604; 626501; 647401; 668271; 689135; 710032; 723344; 745065; 761947; 781021; 804553; 828304; 845085; 864419; 887590; 904929; 927021; 947586; 973901; 994719; 1016770; 1023561)","c(5; 167092; 187960; 208858)","c(""none_top5""; ""none-next_Abpos_top20""; ""none-pTpos_top4""; ""none-next_pTpos_top18"")"
"6",6,"enrichment","none","PRMT9",5.38734351768196,3.09099161689889e-06,0.0107587114878861,5321,"ENSG00000164169","c(6; 33046; 58556; 72718; 98164; 123961; 145368; 146205; 167077; 188057; 208847; 229727; 250610; 275704; 305930; 323019; 336425; 357040; 393093; 409135; 422195; 442620; 463022; 481793; 502453; 526558; 547156; 577040; 605620; 626516; 647304; 668282; 689170; 710055; 726729; 738271; 762950; 791312; 812465; 818180; 843906; 872614; 893957; 915323; 938320; 959428; 977091; 998261; 1010145; 1023380)","c(6; 146205; 167077; 208847; 229727; 250610)","c(""none_top6""; ""none-Abpos_top17""; ""none-next_Abpos_top5""; ""none-next_pTpos_top7""; ""none-both_top3""; ""none-next_both_top2"")"
"7",7,"enrichment","none","PCDHB5",5.25329660352758,4.78824759926354e-06,0.0142853946947171,6167,"ENSG00000113209","c(7; 37173; 47092; 78239; 102644; 122467; 144037; 146207; 167279; 187965; 208848; 229749; 250623; 290247; 301119; 323210; 340794; 360847; 381156; 398421; 419591; 440251; 469776; 490435; 511570; 530584; 551609; 576332; 605618; 626314; 647396; 668281; 689148; 710042; 712186; 743082; 762759; 786943; 808658; 830117; 854620; 875218; 896326; 908569; 929678; 950311; 973065; 993808; 1010853; 1023568)","c(7; 146207; 187965; 208848; 250623)","c(""none_top7""; ""none-Abpos_top19""; ""none-pTpos_top9""; ""none-next_pTpos_top8""; ""none-next_both_top15"")"
"8",8,"enrichment","none","KANK3",5.19550315103266,5.77993376297578e-06,0.0150885170882483,17827,"ENSG00000186994","c(8; 37000; 57300; 73871; 103511; 113099; 145371; 146200; 167085; 188054; 208844; 229827; 250611; 285234; 306756; 322638; 349839; 358478; 389837; 405618; 432959; 442009; 462162; 489079; 503113; 540469; 550233; 566283; 605625; 626508; 647307; 668285; 689070; 710054; 717199; 737445; 763331; 777898; 811027; 821436; 847423; 861850; 894568; 916183; 931034; 958768; 963180; 995184; 1020902; 1023427)","c(8; 146200; 167085; 208844; 250611)","c(""none_top8""; ""none-Abpos_top12""; ""none-next_Abpos_top13""; ""none-next_pTpos_top4""; ""none-next_both_top3"")"
"9",9,"enrichment","none","PRKX",4.97427397305093,1.18435987650532e-05,0.0274824129565968,20238,"ENSG00000183943","c(9; 33842; 59369; 75756; 91177; 123757; 145197; 146233; 167081; 188009; 208922; 229736; 250614; 275587; 302963; 327485; 336969; 357531; 389283; 414032; 423154; 443599; 472252; 485011; 505641; 524223; 544760; 576958; 605592; 626512; 647352; 668207; 689161; 710051; 726846; 741238; 758484; 790768; 811974; 821990; 839009; 871655; 892978; 906093; 935102; 956240; 979426; 1000657; 1010227; 1023436)","c(9; 167081; 229736; 250614)","c(""none_top9""; ""none-next_Abpos_top9""; ""none-both_top12""; ""none-next_both_top6"")"
"10",10,"enrichment","none","RP2",4.80959715329564,2.01256720556931e-05,0.0417629918216323,20373,"ENSG00000102218","c(10; 34362; 58193; 81119; 94445; 123507; 134018; 146294; 167107; 187964; 208895; 229758; 250789; 276740; 298589; 324714; 337532; 369244; 383165; 410024; 422901; 454163; 477864; 491183; 516554; 526597; 552726; 581735; 605531; 626486; 647397; 668234; 689139; 709876; 725693; 745612; 761255; 790205; 800261; 828108; 843017; 871908; 882414; 900481; 928930; 945327; 977052; 992691; 1005450; 1023935)","c(10; 187964)","c(""none_top10""; ""none-pTpos_top8"")"
