"","top","model_type","test","gene","stat","pval","fdr","gene_index","ensembl","in_rows","in_rows_top20","results"
"11",11,"enrichment","none","C3orf35",4.74275564041865,2.49314256807069e-05,0.0417629918216323,3688,"ENSG00000198590","c(11; 32910; 54866; 81051; 103110; 119231; 140610; 146392; 167190; 187967; 208861; 229881; 250707; 280056; 298293; 316187; 340084; 360887; 382000; 400216; 424605; 445198; 471445; 494262; 515456; 533640; 559021; 577232; 605433; 626403; 647394; 668268; 689016; 709958; 722377; 745908; 769782; 787653; 808618; 829273; 852825; 870204; 891379; 906900; 925851; 946425; 970009; 986396; 1009953; 1024449)","c(11; 187967)","c(""none_top11""; ""none-pTpos_top11"")"
"12",12,"enrichment","none","ETS1",4.72634814631205,2.62742511202778e-05,0.0417629918216323,12030,"ENSG00000134954","c(12; 22967; 55213; 76064; 104151; 123660; 145114; 146851; 167135; 188030; 208846; 229745; 250618; 273834; 298658; 313885; 334966; 355749; 385976; 399150; 421163; 441636; 463190; 485795; 506529; 531065; 552108; 577866; 604974; 626458; 647331; 668283; 689152; 710047; 728599; 745543; 772084; 792771; 813756; 825297; 853891; 873646; 894941; 915155; 934318; 955352; 972584; 993309; 1009319; 1023543)","c(12; 208846; 250618)","c(""none_top12""; ""none-next_pTpos_top6""; ""none-next_both_top10"")"
"13",13,"enrichment","none","HS3ST5",4.72198818175461,2.66429006260959e-05,0.0417629918216323,7263,"ENSG00000249853","c(13; 35587; 58945; 69796; 102938; 123874; 141888; 146224; 167084; 188835; 208850; 229739; 250641; 276780; 309752; 322462; 337400; 367565; 394462; 407023; 422668; 452236; 461370; 481421; 503515; 528870; 553146; 580524; 605601; 626509; 646526; 668279; 689158; 710024; 725653; 734449; 763507; 790337; 801940; 816811; 846018; 872141; 884341; 916975; 938692; 958366; 974779; 992271; 1006661; 1023430)","c(13; 167084; 208850; 229739)","c(""none_top13""; ""none-next_Abpos_top12""; ""none-next_pTpos_top10""; ""none-both_top15"")"
"14",14,"enrichment","none","AC099518.2",4.70647192283544,2.79966426691655e-05,0.0417629918216323,15320,"ENSG00000261357","c(14; 32992; 54943; 80934; 103141; 119288; 140686; 146402; 167193; 187969; 208862; 229886; 250712; 280193; 298488; 321525; 346795; 367054; 382230; 405115; 430468; 450768; 471045; 493981; 515221; 538823; 557395; 570417; 605423; 626400; 647392; 668267; 689011; 709953; 722240; 745713; 764444; 780942; 802451; 829043; 847926; 864341; 885809; 907300; 926132; 946660; 964826; 988022; 1016768; 1024411)","c(14; 187969)","c(""none_top14""; ""none-pTpos_top13"")"
"15",15,"enrichment","none","TDP1",4.67601635929829,3.08536394849363e-05,0.0429564938002273,14148,"ENSG00000042088","c(15; 30224; 59716; 68326; 101266; 123905; 145323; 146280; 167080; 188962; 208851; 229734; 250613; 273899; 307727; 321550; 335931; 356574; 395560; 408768; 423145; 443587; 461291; 481105; 501833; 527740; 548464; 571307; 605545; 626513; 646399; 668278; 689163; 710052; 728534; 736474; 764419; 791806; 812931; 815713; 844273; 871664; 892990; 917054; 939008; 960048; 975909; 996953; 1015878; 1023387)","c(15; 167080; 208851; 229734; 250613)","c(""none_top15""; ""none-next_Abpos_top8""; ""none-next_pTpos_top11""; ""none-both_top10""; ""none-next_both_top5"")"
"16",16,"enrichment","none","HELZ2",4.63599321757078,3.50481198635773e-05,0.0457465584519343,19457,"ENSG00000130589","c(16; 38694; 47958; 76621; 93630; 123431; 144901; 146212; 167327; 188020; 208914; 229754; 250629; 290270; 304427; 328739; 345925; 365076; 383189; 406408; 419573; 440235; 471724; 486763; 507532; 525971; 546483; 571257; 605613; 626266; 647341; 668215; 689143; 710036; 712163; 739774; 757230; 781812; 804429; 828084; 846633; 875236; 896342; 906621; 933350; 954349; 977678; 998934; 1015928; 1023609)","16","none_top16"
"17",17,"enrichment","none","SFTA2",4.57755971137236,4.21965844706251e-05,0.046605629638553,6739,"ENSG00000196260","c(17; 33861; 55781; 77157; 103496; 120018; 141465; 146385; 167187; 188023; 208860; 229876; 250705; 279991; 300697; 316223; 341255; 367061; 384606; 400232; 425251; 450773; 466730; 490962; 512173; 538793; 559316; 576891; 605440; 626406; 647338; 668269; 689021; 709960; 722442; 743504; 769746; 786482; 802444; 826667; 852809; 869558; 885804; 911615; 929151; 949708; 964856; 986101; 1010294; 1024239)","c(17; 208860)","c(""none_top17""; ""none-next_pTpos_top20"")"
"18",18,"enrichment","none","RNLS",4.55981906812797,4.46375756755061e-05,0.046605629638553,10596,"ENSG00000184719","c(18; 35557; 57354; 71754; 104010; 121265; 142839; 146257; 167115; 188761; 208849; 229798; 250654; 279329; 306889; 321533; 346724; 365098; 390927; 405118; 430399; 449089; 461466; 484734; 505370; 538310; 554781; 570416; 605568; 626478; 646600; 668280; 689099; 710011; 723116; 737312; 764436; 781013; 804407; 820346; 847923; 864410; 887488; 916879; 935379; 956511; 965339; 990636; 1016769; 1023569)","c(18; 208849)","c(""none_top18""; ""none-next_pTpos_top9"")"
"19",19,"enrichment","none","CTNNA3",4.55021793288396,4.60159306382248e-05,0.046605629638553,10440,"ENSG00000183230","c(19; 36466; 56712; 77720; 103874; 123771; 128211; 146258; 167140; 187977; 208853; 229759; 251403; 285140; 301312; 322071; 338005; 373340; 384474; 399785; 421752; 456596; 466826; 488070; 520851; 530452; 563073; 583685; 605567; 626453; 647384; 668276; 689138; 709262; 717293; 742889; 763898; 789732; 796165; 826799; 853256; 873057; 879981; 911519; 932043; 941030; 973197; 982344; 1003500; 1023717)","c(19; 208853)","c(""none_top19""; ""none-next_pTpos_top13"")"
"20",20,"enrichment","none","FKBPL",4.54199104837594,4.72301841275961e-05,0.046605629638553,6795,"ENSG00000204315","c(20; 29497; 52669; 81169; 94272; 123169; 144677; 146582; 167280; 187966; 208937; 229786; 250645; 277405; 297580; 322931; 336611; 357199; 381380; 407170; 421039; 441520; 477996; 491888; 513117; 526893; 547535; 577125; 605243; 626313; 647395; 668192; 689111; 710020; 725028; 746621; 763038; 791126; 812306; 829893; 845871; 873770; 895057; 900349; 928225; 948764; 976756; 997882; 1010060; 1024245)","c(20; 187966)","c(""none_top20""; ""none-pTpos_top10"")"
"21",21,"enrichment","none","TNIP3",4.52325842412642,5.01136321850886e-05,0.046605629638553,5230,"ENSG00000050730","c(21; 35129; 60176; 75910; 102136; 123362; 130288; 146298; 167094; 188065; 208866; 229769; 250978; 275672; 302814; 322595; 337832; 370945; 389058; 408404; 430320; 456656; 465874; 486206; 514517; 529341; 561803; 582511; 605527; 626499; 647296; 668263; 689128; 709687; 726761; 741387; 763374; 789905; 798560; 822215; 844637; 864489; 879921; 912471; 933907; 947364; 974308; 983614; 1004674; 1023754)","integer(0)","character(0)"
"22",22,"enrichment","none","FAM53B-AS1",4.52199841735154,5.03136669150613e-05,0.046605629638553,10881,"ENSG00000233334","c(22; 31863; 53797; 83263; 102485; 118245; 139567; 146525; 167297; 187962; 208873; 229962; 250774; 280433; 297163; 321517; 346073; 361274; 380722; 405110; 429773; 445384; 473957; 496152; 516567; 537945; 554715; 570442; 605300; 626296; 647399; 668256; 688935; 709891; 722000; 747038; 764452; 781664; 808231; 830551; 847931; 865036; 891193; 904388; 923961; 945314; 965704; 990702; 1016743; 1024903)","187962","none-pTpos_top6"
"23",23,"enrichment","none","NRTN",4.51568525571478,5.1327785945543e-05,0.046605629638553,17769,"ENSG00000171119","c(23; 33660; 55567; 77452; 103423; 119842; 141293; 146416; 167212; 188019; 208864; 229900; 250718; 280058; 300247; 321522; 345004; 360873; 384163; 405112; 428840; 445186; 467554; 491549; 512770; 533743; 554590; 570455; 605409; 626381; 647342; 668265; 688997; 709947; 722375; 743954; 764447; 782733; 808632; 827110; 847929; 865969; 891391; 910791; 928564; 949111; 969906; 990827; 1016730; 1024458)","integer(0)","character(0)"
"24",1,"enrichment","pT+","TESMIN",13.8017593882382,4.10227552192625e-17,8.56719219999079e-13,11614,"ENSG00000132749","c(20280; 33969; 55901; 62653; 103545; 120099; 141575; 164724; 182969; 208840; 222032; 243454; 266653; 280919; 313260; 317056; 342071; 362033; 396796; 402813; 428109; 448192; 459449; 480333; 501217; 535471; 558591; 574699; 587101; 610624; 626521; 655100; 675443; 694012; 721514; 730941; 768913; 785666; 807472; 814477; 850228; 866700; 888385; 918896; 939780; 960664; 968178; 986826; 1012486; 1023317)","integer(0)","c(""pT+_top1""; ""pTpos-next_pTpos_top1""; ""pTpos-both_top1""; ""pTpos-next_both_top1""; ""pTpos-none_top1""; ""pTpos-Abpos_top1""; ""pTpos-next_Abpos_top1""; ""noWM_top1"")"
"25",2,"enrichment","pT+","PIK3IP1-AS1",11.3871137937043,2.35448718975759e-14,2.45855552354488e-10,19945,"ENSG00000228839","c(20201; 33655; 55566; 62654; 103422; 119840; 141287; 164941; 182985; 208839; 222112; 243748; 266564; 280521; 313259; 317143; 342040; 361513; 396795; 402947; 428107; 447833; 459450; 480334; 501218; 535167; 557298; 574628; 586884; 610608; 626522; 655017; 675149; 694134; 721912; 730942; 768861; 785697; 807992; 814478; 850094; 866702; 888744; 918895; 939779; 960663; 968482; 988119; 1012557; 1023318)","integer(0)","c(""pT+_top2""; ""pTpos-next_pTpos_top2""; ""pTpos-both_top2""; ""pTpos-next_both_top2""; ""pTpos-none_top2""; ""pTpos-Abpos_top2""; ""pTpos-next_Abpos_top2""; ""noWM_top2"")"
"26",3,"enrichment","pT+","KLHL7-DT",11.1923095095409,4.05907203255721e-14,2.82565534426416e-10,7711,"ENSG00000230658","c(20193; 33623; 55544; 62655; 103409; 119806; 141249; 163180; 181789; 208838; 222027; 243070; 266543; 280143; 313258; 317256; 342034; 362058; 396794; 403337; 428108; 448647; 459451; 480335; 501219; 534622; 557714; 575510; 588645; 611804; 626523; 655095; 675827; 694113; 722290; 730943; 768713; 785703; 807447; 814479; 849704; 866701; 887930; 918894; 939778; 960662; 969027; 987657; 1011675; 1023319)","integer(0)","c(""pT+_top3""; ""pTpos-next_pTpos_top3""; ""pTpos-both_top3""; ""pTpos-next_both_top3""; ""pTpos-none_top3""; ""pTpos-Abpos_top3""; ""pTpos-next_Abpos_top3""; ""noWM_top3"")"
"27",4,"enrichment","pT+","AC097460.1",10.3612408677962,4.38048836429461e-13,1.82964237999857e-09,5141,"ENSG00000245322","c(20130; 33438; 55387; 62656; 103327; 119672; 141093; 164215; 182656; 208836; 222077; 243370; 266651; 280845; 313256; 317258; 342017; 362065; 396792; 403283; 427785; 448418; 459452; 480336; 501220; 534614; 557675; 575527; 587411; 610936; 626524; 655051; 675526; 694013; 721587; 730944; 768710; 785719; 807439; 814480; 849741; 867023; 888032; 918892; 939776; 960660; 969034; 987618; 1011657; 1023320)","integer(0)","c(""pT+_top4""; ""pTpos-next_pTpos_top4""; ""pTpos-both_top4""; ""pTpos-next_both_top4""; ""pTpos-none_top4""; ""pTpos-Abpos_top4""; ""pTpos-next_Abpos_top4""; ""noWM_top4"")"
"28",5,"enrichment","pT+","HIST4H4",10.3612408677962,4.38048836429461e-13,1.82964237999857e-09,12280,"ENSG00000197837","c(20131; 33439; 55388; 62657; 103328; 119673; 141094; 164349; 182657; 208837; 222078; 243371; 266652; 280846; 313257; 317259; 342018; 362066; 396793; 403299; 427786; 448489; 459453; 480337; 501221; 534615; 557770; 575528; 587545; 610937; 626525; 655052; 675527; 694014; 721588; 730945; 768711; 785720; 807440; 814481; 849757; 867024; 888103; 918893; 939777; 960661; 969035; 987713; 1011658; 1023321)","integer(0)","c(""pT+_top5""; ""pTpos-next_pTpos_top5""; ""pTpos-both_top5""; ""pTpos-next_both_top5""; ""pTpos-none_top5""; ""pTpos-Abpos_top5""; ""pTpos-next_Abpos_top5""; ""noWM_top5"")"
"29",6,"enrichment","pT+","KCNE4",9.71220445965067,2.98717830757861e-12,1.03973719625786e-08,3369,"ENSG00000152049","c(20053; 33281; 55226; 62658; 103244; 119522; 140941; 162826; 182654; 208834; 221897; 243369; 266535; 281445; 313252; 317257; 342083; 362374; 396790; 402814; 427784; 448124; 459456; 480341; 501225; 535176; 558051; 574947; 588999; 610939; 626527; 655232; 675528; 694105; 720988; 730949; 768712; 785654; 807131; 814483; 850227; 867025; 888453; 918889; 939772; 960656; 968473; 987366; 1012238; 1023325)","integer(0)","c(""pT+_top6""; ""pTpos-next_pTpos_top8""; ""pTpos-both_top9""; ""pTpos-next_both_top9""; ""pTpos-none_top7""; ""pTpos-Abpos_top9""; ""pTpos-next_Abpos_top7""; ""noWM_top9"")"
"30",7,"enrichment","pT+","MECOM",9.58978455659998,4.3164225846044e-12,1.28777384652683e-08,4473,"ENSG00000085276","c(20540; 35035; 56831; 62659; 93605; 120876; 142406; 163172; 181029; 208835; 228255; 245956; 266871; 279206; 313255; 328486; 345078; 365222; 396791; 412538; 428885; 449155; 459461; 480338; 501222; 526123; 546658; 572108; 588653; 612564; 626526; 648874; 672941; 693794; 722993; 730946; 757483; 782659; 804283; 814482; 840503; 865924; 887422; 918884; 939775; 960659; 977526; 998759; 1015077; 1023322)","integer(0)","c(""pT+_top7""; ""pTpos-next_pTpos_top13""; ""pTpos-both_top6""; ""pTpos-next_both_top6""; ""pTpos-none_top6""; ""pTpos-Abpos_top6""; ""pTpos-next_Abpos_top6""; ""noWM_top6"")"
"31",8,"enrichment","pT+","CBR3-AS1",9.2790351807968,1.10803167853928e-11,2.89251669682679e-08,19606,"ENSG00000236830","c(17895; 35765; 47621; 62660; 104066; 121420; 142995; 156924; 186066; 208832; 213819; 238257; 259273; 290205; 313254; 321080; 339341; 359789; 396785; 397715; 419627; 440268; 459454; 480339; 501223; 532628; 553909; 576182; 594901; 607527; 626529; 663310; 680640; 701392; 712228; 730947; 764889; 788396; 809716; 814488; 855326; 875182; 896309; 918891; 939774; 960658; 971021; 991508; 1011003; 1023323)","integer(0)","c(""pT+_top8""; ""pTpos-next_pTpos_top6""; ""pTpos-both_top7""; ""pTpos-next_both_top7""; ""pTpos-none_top9""; ""pTpos-Abpos_top7""; ""pTpos-next_Abpos_top12""; ""noWM_top7"")"
"32",9,"enrichment","pT+","SLC1A7",9.15812845087669,1.60413446826172e-11,3.72230491501975e-08,688,"ENSG00000162383","c(19987; 33122; 55071; 62661; 103191; 119397; 140800; 164940; 182653; 208833; 222076; 243747; 266654; 278343; 313251; 317012; 342015; 361850; 396789; 403273; 428514; 448654; 459457; 480342; 501226; 535468; 558046; 574698; 586885; 610940; 626528; 655053; 675150; 694011; 724090; 730950; 768957; 785722; 807655; 814484; 849731; 866295; 887923; 918888; 939771; 960655; 968181; 987371; 1012487; 1023326)","integer(0)","c(""pT+_top9""; ""pTpos-next_pTpos_top9""; ""pTpos-both_top10""; ""pTpos-next_both_top10""; ""pTpos-none_top8""; ""pTpos-Abpos_top10""; ""pTpos-next_Abpos_top8""; ""noWM_top10"")"
"33",10,"enrichment","pT+","GDF6",8.89271665273486,3.63616604432793e-11,7.59376916697445e-08,9013,"ENSG00000156466","c(19960; 33036; 54980; 62662; 103156; 119316; 140721; 164291; 182652; 208831; 222065; 243368; 266650; 280834; 313250; 317236; 342014; 362064; 396787; 403176; 427783; 448450; 459458; 480343; 501227; 534644; 558045; 575529; 587487; 610941; 626530; 655064; 675529; 694015; 721599; 730951; 768733; 785723; 807441; 814486; 849865; 867026; 888064; 918887; 939770; 960654; 969005; 987372; 1011656; 1023328)","integer(0)","c(""pT+_top10""; ""pTpos-next_pTpos_top10""; ""pTpos-both_top11""; ""pTpos-next_both_top11""; ""pTpos-none_top10""; ""pTpos-Abpos_top11""; ""pTpos-next_Abpos_top10""; ""noWM_top12"")"
"34",11,"enrichment","pT+","LINC02192",8.7730568347017,5.27287728022296e-11,1.00107971927433e-07,15571,"ENSG00000261325","c(10704; 36368; 52231; 62663; 104186; 121885; 143457; 151200; 175803; 208828; 210221; 233315; 253866; 288564; 313253; 315877; 339183; 360897; 396788; 398233; 421036; 441515; 459455; 480340; 501224; 533580; 559301; 577951; 600625; 617790; 626533; 666908; 685582; 706799; 713869; 730948; 770092; 788554; 808608; 814485; 854808; 873773; 895062; 918890; 939773; 960657; 970069; 986116; 1009234; 1023324)","integer(0)","c(""pT+_top11""; ""pTpos-next_pTpos_top7""; ""pTpos-both_top8""; ""pTpos-next_both_top8""; ""pTpos-none_top13""; ""pTpos-Abpos_top8""; ""pTpos-next_Abpos_top9""; ""noWM_top8"")"
"35",12,"enrichment","pT+","ZMIZ1-AS1",8.70842163584224,6.44952792017338e-11,1.12243284237417e-07,10545,"ENSG00000224596","c(19938; 32981; 54931; 62664; 103139; 119277; 140672; 162947; 181043; 208830; 221827; 242785; 266190; 280139; 313248; 317233; 341962; 362027; 396786; 403291; 427821; 448467; 459460; 480345; 501229; 534620; 557752; 575511; 588878; 612550; 626531; 655302; 676112; 694475; 722294; 730953; 768736; 785775; 807478; 814487; 849749; 866988; 888081; 918885; 939768; 960652; 969029; 987695; 1011674; 1023332)","integer(0)","c(""pT+_top12""; ""pTpos-next_pTpos_top12""; ""pTpos-both_top13""; ""pTpos-next_both_top13""; ""pTpos-none_top11""; ""pTpos-Abpos_top13""; ""pTpos-next_Abpos_top11""; ""noWM_top16"")"
"36",13,"enrichment","pT+","NCF2",8.06262853373896,4.9481610663023e-10,7.94903043912749e-07,1617,"ENSG00000116701","c(15047; 35969; 47546; 62665; 104113; 121595; 143153; 155322; 185337; 208827; 212380; 236705; 257621; 290086; 313249; 316176; 339288; 360524; 396782; 397743; 419731; 440368; 459459; 480344; 501228; 533417; 558919; 577346; 596503; 608256; 626534; 664749; 682192; 703044; 712347; 730952; 769793; 788449; 808981; 814491; 855298; 875078; 896209; 918886; 939769; 960653; 970232; 986498; 1009839; 1023330)","integer(0)","c(""pT+_top13""; ""pTpos-next_pTpos_top11""; ""pTpos-both_top12""; ""pTpos-next_both_top12""; ""pTpos-none_top14""; ""pTpos-Abpos_top12""; ""pTpos-next_Abpos_top15""; ""noWM_top14"")"
"37",14,"enrichment","pT+","AC006946.2",7.83503451270683,1.02492750016886e-09,1.52889899382331e-06,19729,"ENSG00000273203","c(10291; 35137; 56940; 62666; 103892; 120959; 142491; 152564; 172995; 208806; 210811; 234364; 254996; 281150; 313247; 315938; 340114; 365257; 396784; 400091; 424632; 449184; 459462; 480346; 501230; 534359; 559466; 577772; 599261; 620598; 626555; 666318; 684533; 705669; 721283; 730954; 770031; 787623; 804248; 814489; 852950; 870177; 887393; 918883; 939767; 960651; 969290; 985951; 1009413; 1023333)","integer(0)","c(""pT+_top14""; ""pTpos-next_pTpos_top14""; ""pTpos-both_top14""; ""pTpos-next_both_top14""; ""pTpos-Abpos_top14""; ""pTpos-next_Abpos_top13""; ""noWM_top17"")"
"38",15,"enrichment","pT+","HSF2BP",7.28328141809813,6.10214967877796e-09,8.39363923119022e-06,19670,"ENSG00000160207","c(19760; 32526; 54395; 62667; 102888; 118874; 140252; 163029; 182979; 208825; 222051; 243465; 266588; 281562; 313243; 317262; 342121; 362375; 396781; 402803; 428110; 447876; 459463; 480350; 501234; 535501; 558106; 574664; 588796; 610614; 626536; 655119; 675432; 694077; 720871; 730958; 768707; 785616; 807130; 814492; 850238; 866699; 888701; 918882; 939763; 960647; 968148; 987311; 1012521; 1023342)","integer(0)","c(""pT+_top15""; ""pTpos-next_pTpos_top15""; ""pTpos-both_top18""; ""pTpos-next_both_top18""; ""pTpos-none_top16""; ""pTpos-Abpos_top18""; ""pTpos-next_Abpos_top16"")"
"39",16,"enrichment","pT+","AC063919.1",7.22288628959124,7.42852816535816e-09,8.39363923119022e-06,4222,"ENSG00000251448","c(19749; 32485; 54365; 62668; 102867; 118841; 140219; 164763; 182980; 208824; 222086; 243451; 266590; 280998; 313242; 317109; 342016; 361812; 396780; 402831; 427776; 447867; 459464; 480351; 501235; 534963; 557362; 574695; 587062; 610613; 626537; 655043; 675446; 694075; 721435; 730959; 768827; 785721; 807693; 814493; 850210; 867033; 888710; 918881; 939762; 960646; 968686; 988055; 1012490; 1023347)","integer(0)","c(""pT+_top16""; ""pTpos-next_pTpos_top16""; ""pTpos-both_top19""; ""pTpos-next_both_top19""; ""pTpos-none_top17""; ""pTpos-Abpos_top19""; ""pTpos-next_Abpos_top17"")"
"40",17,"enrichment","pT+","AC133785.1",7.16945632687997,8.84217884917567e-09,8.39363923119022e-06,2907,"ENSG00000233221","c(19726; 32454; 54342; 62669; 102845; 118815; 140183; 164166; 182962; 208817; 221847; 243459; 266533; 281118; 313235; 317013; 342095; 361919; 396774; 402804; 428189; 448087; 459466; 480354; 501238; 535760; 558293; 574629; 587362; 610626; 626539; 655277; 675433; 694103; 721310; 730961; 768951; 785637; 807541; 814494; 850232; 866615; 888485; 918874; 939754; 960638; 967884; 987119; 1012551; 1023351)","integer(0)","c(""pT+_top17""; ""pTpos-next_pTpos_top18""; ""pTpos-none_top19""; ""pTpos-next_Abpos_top18"")"
